44568.570418268326: [{2=4}]
43488.23596583776: [{4=5}]
39540.505330434185: [{2=16}]
33323.276390817584: [{2=5}]
19217.86341796664: [{4=16}]
16135.476602760726: [{5=16}]
14440.502207155394: [{16=38}]
14387.705740474954: [{5=7}]
14323.601150280287: [{4=7}]
13209.328996786338: [{2=38}]
10183.15845549709: [{2=7}]
9977.405096514576: [{2=28}]
9679.38333202091: [{4=31}]
9621.128256500137: [{16=37}]
9557.801368566466: [{2=23}]
9530.68514943936: [{5=8}]
9494.638234454156: [{4=8}]
8146.7193073625895: [{2=37}]
7094.381758267671: [{2=8}]
6660.571135725157: [{2=31}]
5686.588159584257: [{4=38}]
5594.509879221736: [{5=38}]
5220.773442763824: [{2=29}]
4992.310675088198: [{4=30}]
4946.0396476142105: [{16=19}]
4892.537106641939: [{2=17}]
4859.286916394625: [{2=21}]
4801.296996069948: [{7=16}]
4690.788629180586: [{2=18}]
4687.538681428105: [{4=40}]
4664.903585566473: [{2=20}]
4621.997836243169: [{31=40}]
4600.342595388633: [{4=6}]
4521.483248527123: [{30=31}]
4513.403183886763: [{16=39}]
4193.894282378671: [{5=6}]
4020.9071367948327: [{2=39}]
3937.8197263913044: [{2=30}]
3790.051653543709: [{16=28}]
3745.1786263782815: [{5=21}]
3685.394467580858: [{4=21}]
3681.2074378986727: [{16=23}]
3615.225495940478: [{2=6}]
3505.6644141897104: [{4=22}]
3490.234984924682: [{5=22}]
3346.0716428526684: [{4=37}]
2908.916557271743: [{5=37}]
2720.0886749620768: [{2=40}]
2705.5354142432825: [{5=31}]
2626.894768593973: [{2=19}]
2597.154719690019: [{4=28}]
2506.1683370970823: [{4=18}]
2489.6944405765244: [{4=39}]
2422.8333449036018: [{5=39}]
2175.722823834096: [{6=16}]
2102.4361081990683: [{8=16}]
1927.716548828188: [{7=21}]
1888.709304205022: [{4=17}]
1843.7292996631877: [{5=40}]
1800.6703038468877: [{16=20}]
1799.436788029836: [{7=38}]
1758.3200085259596: [{7=22}]
1756.7272448666863: [{5=28}]
1693.845610944526: [{23=28}]
1640.3977235658676: [{28=38}]
1639.1897267395761: [{4=29}]
1616.100531361175: [{4=23}]
1573.8590643324296: [{16=29}]
1557.4133526585483: [{16=18}]
1468.7717149646523: [{4=20}]
1467.450962101062: [{16=17}]
1403.9446695629704: [{16=31}]
1361.5485857683634: [{5=29}]
1200.3775037639152: [{5=18}]
1167.524998463925: [{23=38}]
1157.0232793585728: [{2=22}]
1077.3311217923674: [{4=19}]
1067.3427271992823: [{28=37}]
1054.2878356572019: [{18=31}]
1053.8932954476913: [{5=17}]
1046.170675543246: [{19=29}]
1042.890706296752: [{8=31}]
1031.7148388152036: [{5=30}]
1020.8423928200373: [{23=37}]
1018.697874232912: [{7=28}]
1018.5572280985962: [{19=37}]
985.794006490476: [{8=38}]
928.4230007154438: [{6=38}]
919.6573339751158: [{5=20}]
911.4609287581097: [{8=40}]
895.9849540468276: [{8=18}]
892.9632529511618: [{19=38}]
847.5725737747234: [{8=21}]
826.1829585818869: [{28=31}]
820.1159262939: [{5=23}]
782.2650634307538: [{18=38}]
755.6581830651849: [{20=37}]
737.5293935519294: [{19=31}]
731.2600249371626: [{16=30}]
721.5799834685004: [{8=22}]
719.438657426339: [{18=30}]
699.4979101918252: [{17=31}]
670.7727395438269: [{20=29}]
635.9945370138648: [{16=40}]
627.014857072576: [{7=31}]
613.8466384351814: [{17=28}]
609.2200813930067: [{7=37}]
599.0772473392299: [{20=31}]
575.0094044223642: [{17=38}]
519.2423498526477: [{28=29}]
513.7476256326281: [{7=39}]
500.66262534347516: [{6=39}]
495.25585328442503: [{17=30}]
481.4769575203554: [{23=31}]
438.4185316232233: [{19=40}]
435.79867902696424: [{8=17}]
418.38784291148295: [{20=38}]
417.386657865969: [{6=37}]
408.65176928754045: [{28=30}]
405.1694034973789: [{7=30}]
388.1777060861732: [{19=39}]
384.6011238223582: [{7=20}]
372.80654170096386: [{20=40}]
354.33815194034287: [{8=20}]
351.17158477057274: [{8=28}]
339.9832858497721: [{6=21}]
338.4100055444487: [{28=40}]
312.87094138184875: [{23=40}]
306.65531816435214: [{19=30}]
300.77500998013056: [{18=40}]
300.6071446484366: [{7=17}]
294.0149960706349: [{7=40}]
289.96770832772927: [{20=39}]
287.5531825372818: [{16=21}]
268.8231555933289: [{23=39}]
263.83483635946504: [{23=29}]
260.5848483396094: [{8=37}]
259.63796260393065: [{28=39}]
258.2072668339206: [{29=37}]
250.01517922104722: [{20=28}]
245.81564560583138: [{29=31}]
238.61010858998452: [{31=37}]
236.60308056975373: [{18=37}]
230.03892342869585: [{21=23}]
228.3315366079878: [{18=29}]
210.2379633736964: [{17=40}]
210.04484985024646: [{22=23}]
195.19416281434133: [{20=30}]
193.6992892626513: [{7=23}]
193.31989527753103: [{17=23}]
189.87109327253165: [{23=30}]
187.11132782286768: [{19=21}]
173.7742287206147: [{6=22}]
165.82913980742887: [{20=23}]
163.13429417728366: [{8=23}]
157.98615289501686: [{19=20}]
154.75592097527078: [{6=29}]
153.23928211032216: [{29=40}]
152.7354074584382: [{17=21}]
149.7420949627849: [{6=28}]
133.51365076557158: [{21=28}]
129.35855128220828: [{6=31}]
125.85956233670186: [{7=18}]
124.45550770701084: [{17=37}]
119.00287762512016: [{30=37}]
118.55083997420843: [{20=22}]
