49108.0: [{4=5}]
47853.0: [{2=4}]
44000.0: [{2=16}]
37767.0: [{2=5}]
21484.0: [{4=16}]
18576.0: [{5=16}]
16927.0: [{4=7}, {5=7}]
16642.0: [{16=38}]
15108.0: [{2=38}]
14024.0: [{4=8}, {5=8}]
13851.0: [{2=28}]
12136.0: [{2=7}]
11551.0: [{4=31}]
10720.0: [{2=8}]
10625.0: [{16=37}]
10230.0: [{2=23}]
9552.0: [{2=18}]
8902.0: [{2=29}]
8749.0: [{16=19}]
8728.0: [{2=37}]
8023.0: [{2=20}]
7981.0: [{2=31}]
6822.0: [{2=21}]
6467.0: [{4=38}]
6286.0: [{5=38}]
6255.0: [{16=39}]
6212.0: [{4=22}]
6183.0: [{5=22}]
5797.0: [{30=31}]
5725.0: [{4=30}]
5696.0: [{7=16}]
5649.0: [{31=40}]
5564.0: [{4=40}]
5485.0: [{2=39}]
5393.0: [{4=21}]
5372.0: [{5=21}]
5180.0: [{16=28}]
5026.0: [{2=17}]
4933.0: [{4=6}, {5=6}]
4602.0: [{2=30}]
4464.0: [{2=19}]
4297.0: [{4=18}]
4293.0: [{2=6}]
4065.0: [{15=16}]
4004.0: [{4=11}, {5=11}]
3878.0: [{2=15}]
3849.0: [{16=18}]
3824.0: [{16=23}]
3593.0: [{4=37}]
3509.0: [{4=39}]
3489.0: [{4=28}]
3469.0: [{2=24}]
3433.0: [{8=16}]
3400.0: [{5=31}]
3391.0: [{2=11}]
3388.0: [{5=39}]
3239.0: [{5=37}]
3177.0: [{2=40}]
3165.0: [{7=22}]
3142.0: [{16=36}]
3103.0: [{2=36}]
3015.0: [{4=20}]
2829.0: [{16=20}]
2828.0: [{7=21}]
2796.0: [{6=16}]
2727.0: [{11=16}]
2541.0: [{23=28}]
2460.0: [{4=29}]
2402.0: [{16=29}]
2349.0: [{18=38}]
2342.0: [{2=22}]
2326.0: [{5=28}]
2297.0: [{5=40}]
2232.0: [{2=25}]
2137.0: [{4=15}]
2134.0: [{4=10}, {5=10}]
2093.0: [{28=38}]
2075.0: [{5=29}]
2070.0: [{5=18}]
2039.0: [{4=36}]
2033.0: [{5=36}]
2032.0: [{4=34}]
1975.0: [{5=15}]
1956.0: [{19=29}]
1930.0: [{7=38}]
1912.0: [{18=31}]
1828.0: [{19=37}]
1827.0: [{5=20}]
1826.0: [{4=17}]
1816.0: [{4=9}, {5=9}]
1814.0: [{16=31}]
1809.0: [{2=10}]
1750.0: [{4=19}]
1666.0: [{2=26}]
1649.0: [{16=17}]
