;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;0;47853;37767;4293;12136;10720;1519;1809;3391;164;157;628;3878;44000;5026;9552;4464;8023;6822;2342;10230;3469;2232;1666;1521;13851;8902;4602;7981;951;658;496;503;3103;8728;15108;5485;3177;0;0;0;0
Router 3;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 4;;;;;49108;4933;16927;14024;1816;2134;4004;30;33;318;2137;21484;1826;4297;1750;3015;5393;6212;1455;1001;1168;1256;628;3489;2460;5725;11551;1121;889;2032;324;2039;3593;6467;3509;5564;0;0;0;0
Router 5;;;;;;4933;16927;14024;1816;2134;4004;0;17;264;1975;18576;1016;2070;76;1827;5372;6183;716;613;1160;1234;501;2326;2075;1072;3400;9;217;1532;324;2033;3239;6286;3388;2297;0;0;0;0
Router 6;;;;;;;0;0;0;0;0;0;0;25;127;2796;31;113;9;42;482;394;46;34;95;146;22;230;231;87;190;1;35;20;36;55;494;1129;895;94;0;0;0;0
Router 7;;;;;;;;0;0;0;0;0;1;16;1185;5696;285;149;10;965;2828;3165;349;205;129;56;111;1339;7;469;768;7;133;718;43;316;782;1930;956;288;0;0;0;0
Router 8;;;;;;;;;0;0;0;0;0;186;418;3433;656;1579;45;563;1303;1314;222;260;792;989;240;463;34;120;1415;0;9;566;170;107;438;1648;164;1295;0;0;0;0
Router 9;;;;;;;;;;0;0;0;16;2;10;830;16;54;3;185;247;142;41;43;0;0;29;44;12;74;126;1;1;27;11;64;240;403;38;46;0;0;0;0
Router 10;;;;;;;;;;;0;0;0;0;6;761;2;1;0;2;93;79;0;5;2;0;14;16;913;91;205;0;10;31;0;12;325;99;319;112;0;0;0;0
Router 11;;;;;;;;;;;;0;0;3;223;2727;5;159;5;33;228;241;16;9;122;1;8;40;40;56;247;0;9;116;22;1352;229;463;255;190;0;0;0;0
Router 12;;;;;;;;;;;;;0;0;6;69;0;0;0;0;0;22;0;0;0;0;0;41;2;4;19;0;0;11;0;0;24;35;4;12;0;0;0;0
Router 13;;;;;;;;;;;;;;0;13;39;0;0;1;3;48;22;0;0;0;0;0;12;0;0;1;0;0;15;1;0;12;6;6;1;0;0;0;0
Router 14;;;;;;;;;;;;;;;101;262;0;5;4;0;4;0;19;1;0;0;0;18;1;28;39;0;15;0;0;0;50;88;3;1;0;0;0;0
Router 15;;;;;;;;;;;;;;;;4065;487;297;146;84;14;6;355;101;3;1;9;230;34;7;13;80;1;68;5;12;3;5;0;5;0;0;0;0
Router 16;;;;;;;;;;;;;;;;;1649;3849;8749;2829;301;158;3824;1499;87;139;229;5180;2402;901;1814;805;172;117;515;3142;10625;16642;6255;782;0;0;0;0
Router 17;;;;;;;;;;;;;;;;;;33;5;15;134;111;145;28;13;1;35;860;176;669;786;3;11;10;7;61;124;710;242;116;0;0;0;0
Router 18;;;;;;;;;;;;;;;;;;;0;22;234;274;88;49;6;51;29;88;527;1512;1912;0;105;210;41;358;613;2349;184;380;0;0;0;0
Router 19;;;;;;;;;;;;;;;;;;;;173;233;146;15;20;1;1;46;113;1956;679;1456;0;169;49;7;25;1828;1516;760;777;0;0;0;0
Router 20;;;;;;;;;;;;;;;;;;;;;149;224;202;40;0;0;18;406;1100;289;1044;1;122;21;1;52;1219;832;444;755;0;0;0;0
Router 21;;;;;;;;;;;;;;;;;;;;;;16;316;64;2;47;4;96;14;4;8;10;0;3;2;4;14;27;0;0;0;0;0;0
Router 22;;;;;;;;;;;;;;;;;;;;;;;323;113;896;5;28;129;21;5;26;3;0;0;0;0;0;0;0;0;0;0;0;0
