;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;46647,465;36805,748;3981,778;11322,466;10361,595;1463,257;1819,139;3258,012;147,919;145,548;575,324;3714,839;42980,527;4943,456;8827,208;4452,897;7785,882;6574,480;2062,394;9365,946;3308,801;2110,426;1589,296;1559,400;12973,271;8700,543;4416,936;7697,291;801,525;726,761;372,747;514,281;3118,318;8484,500;14139,758;5059,260;3097,912;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;47674,775;4604,387;15623,729;13515,242;1714,003;2119,482;3906,554;13,782;22,505;279,034;1957,536;20834,047;1808,498;3924,045;1793,786;2729,973;5045,217;5831,094;1388,148;869,476;1071,461;1183,272;658,460;3296,695;2539,679;5474,195;11228,927;1011,779;946,518;1846,865;319,343;1985,557;3629,436;6274,577;2930,179;5502,136;0,000;0,000;0,000;0,000
Router 5;;;;;;4627,463;15557,254;13468,733;1721,802;2128,838;3894,859;-11,780;3,870;231,363;1911,950;18264,763;1002,301;1874,232;123,390;1568,026;5026,952;5790,414;746,210;491,256;1065,542;1144,715;529,418;2141,959;2189,224;1055,110;3268,352;-45,613;276,963;1396,566;319,875;1994,784;3261,413;6084,856;2812,885;2181,494;0,000;0,000;0,000;0,000
Router 6;;;;;;;-17,296;-35,220;-14,807;-4,399;-28,477;-3,791;-0,873;22,888;108,191;2484,803;7,405;149,120;8,814;45,866;461,142;389,301;17,920;-9,293;72,264;135,196;30,442;177,109;211,306;100,216;173,367;-2,201;49,876;2,273;32,199;55,757;438,406;964,240;599,147;69,472;0,000;0,000;0,000;0,000
Router 7;;;;;;;;20,914;9,583;-26,173;-27,338;2,286;-4,981;11,970;1051,772;5437,181;299,039;60,482;38,534;665,659;2302,355;2762,227;372,786;152,058;128,452;31,002;116,526;1038,201;48,604;455,370;799,823;20,981;158,051;543,343;66,548;277,868;774,476;1962,218;609,636;302,864;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-13,892;6,203;29,491;-0,622;-7,966;168,217;417,969;3223,419;655,396;1501,350;-48,222;555,612;1078,023;1309,259;195,037;258,980;762,375;895,631;255,746;373,466;99,057;136,175;1351,874;-15,834;25,271;468,221;149,117;160,299;410,165;1569,151;116,056;1238,181;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;4,122;4,738;-1,259;13,447;1,498;10,838;898,463;11,369;50,039;36,077;119,461;226,910;152,231;53,412;30,766;-1,034;1,189;23,571;58,029;31,697;75,990;121,767;-0,902;7,445;27,129;10,471;58,859;285,727;405,957;52,021;33,260;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-8,098;-1,106;0,288;-1,737;-6,207;792,453;7,946;-15,111;-14,641;-1,327;87,471;86,639;5,858;-6,726;8,350;8,616;11,328;8,076;893,786;82,262;208,320;-0,882;5,841;30,393;3,687;-13,992;333,301;120,635;323,716;120,003;0,000;0,000;0,000;0,000
