;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47853,000;37767,000;4293,000;12136,000;10720,000;1519,000;1809,000;3391,000;164,000;157,000;628,000;3878,000;44000,000;5026,000;9552,000;4464,000;8023,000;6822,000;2342,000;10230,000;3469,000;2232,000;1666,000;1521,000;13851,000;8902,000;4602,000;7981,000;951,000;658,000;496,000;503,000;3103,000;8728,000;15108,000;5485,000;3177,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;49108,000;4933,000;16927,000;14024,000;1816,000;2134,000;4004,000;30,000;33,000;318,000;2137,000;21484,000;1826,000;4297,000;1750,000;3015,000;5393,000;6212,000;1455,000;1001,000;1168,000;1256,000;628,000;3489,000;2460,000;5725,000;11551,000;1121,000;889,000;2032,000;324,000;2039,000;3593,000;6467,000;3509,000;5564,000;0,000;0,000;0,000;0,000
Router 5;;;;;;4933,000;16927,000;14024,000;1816,000;2134,000;4004,000;0,000;17,000;264,000;1975,000;18576,000;1016,000;2070,000;76,000;1827,000;5372,000;6183,000;716,000;613,000;1160,000;1234,000;501,000;2326,000;2075,000;1072,000;3400,000;9,000;217,000;1532,000;324,000;2033,000;3239,000;6286,000;3388,000;2297,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,000;127,000;2796,000;31,000;113,000;9,000;42,000;482,000;394,000;46,000;34,000;95,000;146,000;22,000;230,000;231,000;87,000;190,000;1,000;35,000;20,000;36,000;55,000;494,000;1129,000;895,000;94,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;1,000;16,000;1185,000;5696,000;285,000;149,000;10,000;965,000;2828,000;3165,000;349,000;205,000;129,000;56,000;111,000;1339,000;7,000;469,000;768,000;7,000;133,000;718,000;43,000;316,000;782,000;1930,000;956,000;288,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;0,000;0,000;0,000;0,000;0,000;186,000;418,000;3433,000;656,000;1579,000;45,000;563,000;1303,000;1314,000;222,000;260,000;792,000;989,000;240,000;463,000;34,000;120,000;1415,000;0,000;9,000;566,000;170,000;107,000;438,000;1648,000;164,000;1295,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;0,000;0,000;0,000;16,000;2,000;10,000;830,000;16,000;54,000;3,000;185,000;247,000;142,000;41,000;43,000;0,000;0,000;29,000;44,000;12,000;74,000;126,000;1,000;1,000;27,000;11,000;64,000;240,000;403,000;38,000;46,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;0,000;0,000;0,000;0,000;6,000;761,000;2,000;1,000;0,000;2,000;93,000;79,000;0,000;5,000;2,000;0,000;14,000;16,000;913,000;91,000;205,000;0,000;10,000;31,000;0,000;12,000;325,000;99,000;319,000;112,000;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;0,000;0,000;3,000;223,000;2727,000;5,000;159,000;5,000;33,000;228,000;241,000;16,000;9,000;122,000;1,000;8,000;40,000;40,000;56,000;247,000;0,000;9,000;116,000;22,000;1352,000;229,000;463,000;255,000;190,000;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;0,000;0,000;6,000;69,000;0,000;0,000;0,000;0,000;0,000;22,000;0,000;0,000;0,000;0,000;0,000;41,000;2,000;4,000;19,000;0,000;0,000;11,000;0,000;0,000;24,000;35,000;4,000;12,000;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;0,000;13,000;39,000;0,000;0,000;1,000;3,000;48,000;22,000;0,000;0,000;0,000;0,000;0,000;12,000;0,000;0,000;1,000;0,000;0,000;15,000;1,000;0,000;12,000;6,000;6,000;1,000;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;101,000;262,000;0,000;5,000;4,000;0,000;4,000;0,000;19,000;1,000;0,000;0,000;0,000;18,000;1,000;28,000;39,000;0,000;15,000;0,000;0,000;0,000;50,000;88,000;3,000;1,000;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;4065,000;487,000;297,000;146,000;84,000;14,000;6,000;355,000;101,000;3,000;1,000;9,000;230,000;34,000;7,000;13,000;80,000;1,000;68,000;5,000;12,000;3,000;5,000;0,000;5,000;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1649,000;3849,000;8749,000;2829,000;301,000;158,000;3824,000;1499,000;87,000;139,000;229,000;5180,000;2402,000;901,000;1814,000;805,000;172,000;117,000;515,000;3142,000;10625,000;16642,000;6255,000;782,000;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;33,000;5,000;15,000;134,000;111,000;145,000;28,000;13,000;1,000;35,000;860,000;176,000;669,000;786,000;3,000;11,000;10,000;7,000;61,000;124,000;710,000;242,000;116,000;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;0,000;22,000;234,000;274,000;88,000;49,000;6,000;51,000;29,000;88,000;527,000;1512,000;1912,000;0,000;105,000;210,000;41,000;358,000;613,000;2349,000;184,000;380,000;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;173,000;233,000;146,000;15,000;20,000;1,000;1,000;46,000;113,000;1956,000;679,000;1456,000;0,000;169,000;49,000;7,000;25,000;1828,000;1516,000;760,000;777,000;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;149,000;224,000;202,000;40,000;0,000;0,000;18,000;406,000;1100,000;289,000;1044,000;1,000;122,000;21,000;1,000;52,000;1219,000;832,000;444,000;755,000;0,000;0,000;0,000;0,000
