;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;0;0;5270;1674;1343;6128;1407;6508;4004;7619;28;377;0;73;0;2201;0;1644;868;221;647;226;3727;174;9;70;489;1089;761;3665;1628;221;102;234;878;377;1667;1;177;1469;64;1652;1417;2819;1189;1759;0;0;0;0
Router 3;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 5;;;;;;793;92;62;270;1361;0;2692;0;62;0;0;0;1880;0;54;38;32;6;48;683;15;4;37;228;848;42;1265;793;62;77;194;838;175;129;0;20;54;42;127;731;614;761;272;0;0;0;0
Router 6;;;;;;;135;441;12210;485;373;24;0;306;12;68;696;1121;1836;1240;4233;921;1556;2125;4650;113;125;1538;2316;529;89;1288;11054;306;22;230;231;87;64;5;218;20;306;55;9319;1129;895;94;218;0;0;0
Router 7;;;;;;;;8452;1412;1084;428;5377;95;2442;7;3;33;7579;234;735;1369;16;1333;935;5101;2039;55;1634;5982;4525;349;1969;1638;605;744;1817;42;469;327;7;470;718;84;316;1419;1930;956;288;0;0;0;0
Router 8;;;;;;;;;656;5282;10;117;123;5484;1;2;0;3289;613;704;527;186;541;550;656;1761;45;635;1927;1346;222;3818;3038;2091;262;478;35;146;117;8;656;581;254;107;1857;1742;173;1297;0;0;0;0
Router 9;;;;;;;;;;41;5;0;0;160;12;0;838;517;1836;1436;5067;971;2757;2186;6058;54;718;1763;3127;671;41;1489;8265;160;46;274;243;161;134;4;183;47;164;119;6795;1532;933;140;183;0;0;0
Router 10;;;;;;;;;;;868;79;28;294;18;2741;137;7673;2527;5835;2040;207;3273;287;2;95;78;482;2439;337;2308;16188;439;148;17;154;2038;3443;68;1;148;1760;1;66;433;3957;3578;4375;0;0;0;0
Router 11;;;;;;;;;;;;2320;0;10;0;0;0;321;0;116;223;3;223;178;646;159;5;33;261;241;16;513;373;10;8;40;40;56;1353;0;9;116;22;1352;229;463;255;190;0;0;0;0
Router 12;;;;;;;;;;;;;0;10;0;0;0;3056;0;63;6;0;350;700;6042;0;5;0;30;1111;2;1938;24;0;0;275;880;473;2736;0;0;11;0;2686;24;3042;960;300;0;0;0;0
Router 13;;;;;;;;;;;;;;136;0;0;0;47;0;15;13;0;13;0;0;0;0;0;48;22;0;13;13;0;0;12;0;0;0;0;0;15;1;0;12;6;6;1;0;0;0;0
Router 14;;;;;;;;;;;;;;;1;2;0;484;170;138;162;0;123;107;107;24;0;72;61;32;0;145;2480;2145;0;15;1;26;10;8;671;15;214;0;1306;94;9;2;0;0;0;0
Router 15;;;;;;;;;;;;;;;;74;12;100;0;68;5;5;0;3;38;0;0;0;14;12;18;16;12;1;6;5;1;7;12;0;1;68;5;12;3;5;0;5;1;0;0;0
Router 16;;;;;;;;;;;;;;;;;6;11;2628;171;13;16;13;339;5;0;0;0;6;6;318;2339;68;2;3;5;0;744;2;0;2;134;0;2;66;13;770;777;0;0;0;0
Router 17;;;;;;;;;;;;;;;;;;1850;0;10;485;0;485;10;1871;15;0;14;148;788;127;1050;302;0;33;860;172;669;62;0;12;10;12;61;261;710;242;116;12;0;0;0
Router 18;;;;;;;;;;;;;;;;;;;4743;1728;7592;31;5554;1751;4886;493;716;6247;8398;7076;754;4217;660;337;222;6453;7721;2236;773;0;274;275;41;752;613;4741;766;1004;0;0;0;0
Router 19;;;;;;;;;;;;;;;;;;;;90;248;4;325;4699;3387;9;7;181;478;270;294;2233;1836;170;64;201;1988;679;27;0;169;66;7;27;1828;1516;760;777;0;0;0;0
Router 20;;;;;;;;;;;;;;;;;;;;;1606;0;145;41;1;0;5;22;190;224;99;2352;1220;123;17;131;1098;287;52;1;122;2032;1;52;1219;832;444;755;0;0;0;0
Router 21;;;;;;;;;;;;;;;;;;;;;;1023;11748;180;1712;121;11;368;878;339;138;1255;3600;53;58;2292;1026;245;348;0;112;117;128;348;2378;1262;499;328;112;0;0;0
Router 22;;;;;;;;;;;;;;;;;;;;;;;19;1;1;0;0;15;15;2;2;206;896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 23;;;;;;;;;;;;;;;;;;;;;;;;179;18;64;11;330;679;321;136;2490;1415;14;39;2061;795;245;344;0;112;48;125;344;1145;1235;499;328;112;0;0;0
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7088;9;3;777;844;124;287;706;1967;107;18;88;32;184;240;1;1;17;10;238;1940;2457;7;181;1;0;0;0
