;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;4934,170;1621,200;1360,545;5667,490;935,986;8599,435;3873,234;4945,257;28,247;339,982;-10,151;60,610;5,161;2073,286;-58,366;1404,305;649,664;198,212;605,520;150,059;1858,014;163,512;32,580;99,800;525,173;939,934;717,963;5324,582;1583,109;198,974;81,755;259,366;887,613;374,850;1602,913;0,240;148,041;1231,599;56,186;1592,191;1373,556;2727,279;1074,520;1706,092;-9,501;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;751,997;15,326;32,472;268,985;1238,241;-23,758;2507,406;-2,545;47,001;-5,465;1,490;-7,095;1716,248;-15,021;56,567;47,001;23,515;42,035;20,997;696,012;6,082;8,006;44,449;247,669;684,172;30,153;1115,420;751,658;52,199;71,363;210,637;856,181;153,373;105,663;-1,017;14,019;48,509;34,786;104,504;707,290;654,366;636,328;251,801;2,996;0,000;0,000;0,000
Router 6;;;;;;;728,956;985,054;11247,742;569,455;341,377;1,071;-4,356;295,060;13,038;125,157;668,151;1158,070;1880,320;1232,039;3786,022;905,992;1187,888;1983,163;4249,934;92,898;118,613;1416,045;2159,653;515,038;59,925;1145,586;10466,535;294,409;7,495;248,707;230,679;141,573;55,625;3,031;218,017;7,636;294,434;47,514;8689,699;998,290;616,965;115,454;210,337;0,000;0,000;0,000
Router 7;;;;;;;;8171,453;1160,440;863,771;383,853;4457,477;91,316;1728,950;-5,033;18,501;81,458;7747,014;688,136;573,670;1346,668;22,909;1317,259;779,958;4269,998;1985,558;72,755;1372,510;5219,151;4148,429;305,120;1617,958;1551,031;593,274;737,333;1500,826;77,769;421,325;317,321;6,452;492,565;562,576;94,103;303,408;1343,036;1833,354;652,691;314,207;15,934;0,000;0,000;0,000
Router 8;;;;;;;;;714,230;4838,274;12,160;180,008;115,001;4600,007;-8,786;-52,527;27,944;3345,150;508,830;637,667;489,960;160,564;470,150;454,949;633,132;1691,771;68,352;621,355;1734,211;1344,830;212,731;3593,102;2889,908;1960,190;249,892;422,259;70,754;150,239;172,630;9,149;647,873;481,109;227,672;170,406;1782,466;1677,569;139,335;1246,541;-4,457;0,000;0,000;0,000
Router 9;;;;;;;;;;64,569;-13,196;-1,204;-0,340;168,743;15,542;16,409;796,459;567,938;1839,361;1424,968;5147,229;951,730;2288,793;2073,798;5591,947;17,978;254,522;1599,368;2890,345;658,617;20,831;1306,584;7614,733;153,356;41,332;248,369;259,945;224,295;101,433;1,699;183,798;40,626;161,749;83,261;6265,575;1374,691;662,845;121,576;175,168;0,000;0,000;0,000
Router 10;;;;;;;;;;;879,037;49,265;24,242;201,629;-4,185;2625,946;135,538;5671,343;2434,758;5518,005;3138,283;216,341;3118,337;247,784;-124,562;59,814;96,357;400,006;873,569;273,614;2149,478;15405,078;519,637;110,405;20,382;147,938;2068,457;3059,143;90,337;-0,292;173,181;1520,413;21,231;88,278;461,604;3783,284;3366,939;4289,149;17,073;0,000;0,000;0,000
