;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5270,000;1674,000;1343,000;6128,000;1407,000;6508,000;4004,000;7619,000;28,000;377,000;0,000;73,000;0,000;2201,000;0,000;1644,000;868,000;221,000;647,000;226,000;3727,000;174,000;9,000;70,000;489,000;1089,000;761,000;3665,000;1628,000;221,000;102,000;234,000;878,000;377,000;1667,000;1,000;177,000;1469,000;64,000;1652,000;1417,000;2819,000;1189,000;1759,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;793,000;92,000;62,000;270,000;1361,000;0,000;2692,000;0,000;62,000;0,000;0,000;0,000;1880,000;0,000;54,000;38,000;32,000;6,000;48,000;683,000;15,000;4,000;37,000;228,000;848,000;42,000;1265,000;793,000;62,000;77,000;194,000;838,000;175,000;129,000;0,000;20,000;54,000;42,000;127,000;731,000;614,000;761,000;272,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;135,000;441,000;12210,000;485,000;373,000;24,000;0,000;306,000;12,000;68,000;696,000;1121,000;1836,000;1240,000;4233,000;921,000;1556,000;2125,000;4650,000;113,000;125,000;1538,000;2316,000;529,000;89,000;1288,000;11054,000;306,000;22,000;230,000;231,000;87,000;64,000;5,000;218,000;20,000;306,000;55,000;9319,000;1129,000;895,000;94,000;218,000;0,000;0,000;0,000
Router 7;;;;;;;;8452,000;1412,000;1084,000;428,000;5377,000;95,000;2442,000;7,000;3,000;33,000;7579,000;234,000;735,000;1369,000;16,000;1333,000;935,000;5101,000;2039,000;55,000;1634,000;5982,000;4525,000;349,000;1969,000;1638,000;605,000;744,000;1817,000;42,000;469,000;327,000;7,000;470,000;718,000;84,000;316,000;1419,000;1930,000;956,000;288,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;656,000;5282,000;10,000;117,000;123,000;5484,000;1,000;2,000;0,000;3289,000;613,000;704,000;527,000;186,000;541,000;550,000;656,000;1761,000;45,000;635,000;1927,000;1346,000;222,000;3818,000;3038,000;2091,000;262,000;478,000;35,000;146,000;117,000;8,000;656,000;581,000;254,000;107,000;1857,000;1742,000;173,000;1297,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;41,000;5,000;0,000;0,000;160,000;12,000;0,000;838,000;517,000;1836,000;1436,000;5067,000;971,000;2757,000;2186,000;6058,000;54,000;718,000;1763,000;3127,000;671,000;41,000;1489,000;8265,000;160,000;46,000;274,000;243,000;161,000;134,000;4,000;183,000;47,000;164,000;119,000;6795,000;1532,000;933,000;140,000;183,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;868,000;79,000;28,000;294,000;18,000;2741,000;137,000;7673,000;2527,000;5835,000;2040,000;207,000;3273,000;287,000;2,000;95,000;78,000;482,000;2439,000;337,000;2308,000;16188,000;439,000;148,000;17,000;154,000;2038,000;3443,000;68,000;1,000;148,000;1760,000;1,000;66,000;433,000;3957,000;3578,000;4375,000;0,000;0,000;0,000;0,000
