;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;0;0;5;0;0;0;0;1917;2445;0;3478;2989;11109;1533;225;121;13;410;374;10;68;217;673;179;117;53;119;62;131;2494;13268;5306;1500;1359;3737;2492;1422;3489;1919;3499;3517;897;913;343;214;4;0;10;0;0;118;13;8271;14;535;545;77;924;459;127;0;0;0;0;0;0;0;0
Router 3;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 4;;;;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 5;;;;;;9;1540;9;2227;1540;6231;0;954;505;2101;66;1478;57;0;274;78;255;54;20;49;501;481;263;675;0;1;1;1;12;1;32;226;222;204;113;238;561;0;0;71;10;321;0;2;38;0;69;17;0;916;6718;0;1566;36;357;217;0;0;9;0;0;0;0;0;0
Router 6;;;;;;;38;0;0;53;917;0;0;0;86;0;29;0;0;0;715;0;90;1;4;250;48;0;0;0;0;0;0;0;0;26;27;0;0;0;4;4;0;0;0;0;21;0;10;106;166;736;0;0;24;9;0;0;2;44;8;0;0;0;0;0;0;0;0;0
Router 7;;;;;;;;225;1536;4749;2064;0;1;6;0;0;3430;500;0;1;50;0;49;0;0;740;91;12;0;3;3;0;0;0;0;0;0;1;0;51;0;1276;0;0;151;0;259;141;3;45;38;15;0;197;1853;1540;0;651;0;0;0;0;7;210;0;0;0;0;0;0
Router 8;;;;;;;;;539;225;355;0;332;340;249;2;223;2;0;0;5;0;5;5;8;1;1;0;0;0;0;0;0;0;51;0;35;50;42;58;0;46;0;6;0;0;14;0;0;2;0;0;2;2;169;9;0;141;0;70;90;0;352;756;0;0;0;0;0;0
Router 9;;;;;;;;;;1484;4751;3;430;5027;493;334;1264;26;0;356;166;273;136;46;56;603;257;170;1962;5;10;2;0;759;16;5;58;757;1054;3006;0;370;0;22;1370;429;790;182;26;267;95;457;122;20;662;2218;13;7002;6;249;180;0;13;183;0;0;0;0;0;0
Router 10;;;;;;;;;;;2061;0;290;20;1836;752;5116;1682;0;94;124;20;91;90;368;740;91;14;19;33;40;223;6;41;198;1;571;708;190;1042;368;2517;0;0;151;95;259;141;3;45;38;15;140;241;2206;1540;96;651;13;524;84;85;7;210;0;0;0;0;0;0
