;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-3,333;8,517;5,404;1,246;-3,050;-46,822;2253,886;1595,943;-2,512;3087,649;2899,341;10502,622;1874,562;1788,176;194,643;16,262;538,138;508,501;61,698;135,546;254,927;663,691;138,753;161,672;40,731;144,098;59,335;200,468;2394,802;12573,198;5115,960;1282,514;1239,666;3396,911;2706,154;1530,467;2967,529;2113,979;3276,473;1761,885;883,208;735,435;398,791;221,786;-4,557;-10,766;-33,735;12,473;25,561;268,166;21,205;8130,831;50,278;467,506;454,542;54,326;815,519;566,406;116,622;-27,072;24,948;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;8,679;9,002;-1,547;-0,542;1,958;-3,723;-3,074;-0,002;-2,140;4,686;-3,325;-1,593;-3,967;2,188;-0,007;-0,707;7,329;-1,606;1,902;0,434;-2,280;1,067;-0,829;-0,348;-0,610;-0,182;-0,632;-0,289;-0,931;-1,466;1,419;-1,936;-0,259;-4,083;-0,378;0,425;-1,161;-3,172;-0,889;-0,528;2,619;-1,696;0,659;-0,239;-0,269;-0,788;-0,160;9,002;-1,998;-0,470;-0,778;8,779;-0,126;4,516;-0,258;-1,953;-0,674;-0,301;-0,112;-0,419;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;24,593;1433,384;19,685;2103,146;1504,723;5999,471;-1,264;981,971;549,590;2012,566;35,364;1452,316;121,104;-3,059;258,862;-3,795;216,313;77,532;69,775;95,045;481,980;419,187;233,967;662,686;9,170;19,442;2,115;-15,193;27,727;78,335;-36,028;110,824;262,300;196,829;146,472;342,320;551,733;3,854;1,452;26,289;55,300;307,944;2,935;-26,803;33,538;2,370;85,087;55,961;-5,250;953,040;6221,003;78,256;1532,388;19,168;279,905;221,855;-37,315;-0,202;23,969;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;2,620;-4,143;-40,675;2,450;822,817;-0,166;-5,157;-10,364;80,649;-15,186;11,651;6,910;-0,719;-15,492;661,527;-3,573;99,761;9,173;33,332;252,300;37,617;-1,035;-6,023;-2,175;-10,442;-24,564;9,716;12,909;4,007;41,114;7,747;-46,236;-59,383;-32,900;27,513;-6,114;-0,100;-6,143;-18,674;12,535;10,134;-3,414;21,801;114,334;158,212;728,344;-15,216;3,802;19,877;22,297;-7,090;24,663;4,472;27,952;11,903;1,358;-0,562;-4,555;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;244,831;1518,283;4603,007;2783,550;-0,955;39,131;148,263;-20,574;-14,918;3339,591;482,582;-2,821;59,130;77,491;6,744;53,852;35,103;53,103;614,962;79,894;13,344;11,672;14,178;20,784;14,245;81,161;-79,662;-10,139;12,636;-5,196;44,809;52,817;10,302;3,980;1208,926;15,443;-1,318;94,451;53,331;226,447;135,953;-5,301;41,295;34,793;30,538;-21,190;170,748;1899,486;1449,461;8,872;621,116;-5,527;-46,956;-37,268;10,978;20,646;219,608;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;224,022;260,042;573,469;-0,181;304,172;70,187;541,197;34,637;270,447;38,068;-0,783;16,644;12,566;-33,479;2,500;-13,059;-16,987;-9,427;-13,191;-1,790;7,877;-3,730;-2,227;12,278;-18,197;0,959;46,801;-16,774;54,307;16,759;27,234;17,442;-6,414;56,525;7,506;12,920;2,096;3,259;28,383;-5,454;-7,666;0,215;-3,490;0,346;-2,421;5,412;159,147;24,077;-4,565;129,673;-7,509;78,935;75,695;7,575;202,243;744,669;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1450,709;4808,845;2,492;390,700;5098,471;377,527;234,288;1287,241;36,805;-1,566;372,794;240,632;225,791;187,710;-35,034;6,980;616,832;230,577;146,709;1753,516;14,938;9,533;95,449;9,197;716,666;67,415;-33,539;93,628;1156,526;946,427;1212,193;62,068;366,339;25,051;19,073;1292,315;473,811;705,991;154,608;1,949;195,084;80,484;441,843;161,726;3,902;751,959;2099,354;37,369;6958,432;-9,284;279,780;143,357;-41,038;37,403;186,109;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2895,030;-1,684;385,273;175,707;1582,945;587,401;5027,227;1623,877;-2,279;96,648;77,568;-5,749;131,509;60,636;400,819;658,171;112,157;1,984;40,621;38,982;78,754;228,477;38,596;-5,138;213,160;-3,240;176,667;592,948;158,272;602,314;412,387;2449,235;52,253;23,671;121,509;150,628;231,972;121,068;11,380;45,793;37,503;20,740;109,759;221,044;2252,917;1529,095;129,879;589,255;8,058;478,494;52,834;72,325;3,386;250,976;0,000;0,000;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-3,425;4773,708;1393,142;12915,613;1501,226;1868,059;615,850;5,835;427,674;647,980;231,249;292,380;548,243;732,981;4143,681;1257,392;109,828;-73,768;74,403;68,131;121,352;885,498;739,902;624,010;544,137;1086,718;1028,747;567,096;1859,349;1564,134;839,424;57,331;-16,651;333,234;108,309;2604,653;208,886;576,434;1311,776;145,412;748,852;182,681;133,540;1632,956;6001,935;567,091;3223,252;15,174;1125,479;453,647;41,394;273,833;308,744;0,000;0,000;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-1,654;3,673;-6,392;-2,889;0,016;-1,052;-0,002;-1,363;-1,972;-0,535;-0,550;0,553;-0,280;-0,947;-0,276;-0,116;-0,604;-0,061;-0,210;-0,483;-1,229;0,089;-0,791;-1,084;-3,217;-1,115;-0,605;-4,650;0,877;0,255;-0,296;-0,176;1,724;-0,565;0,617;-0,080;-0,090;-0,262;-0,053;-0,262;0,556;-0,157;-2,159;-1,210;-0,422;-0,395;-0,086;-1,083;-0,086;-0,100;-0,037;-0,140;0,000;0,000;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;5889,289;15028,385;4475,821;189,423;690,618;7,358;2785,004;1469,349;681,337;1396,856;1251,220;3178,176;1373,923;219,150;15,843;101,066;94,835;109,814;246,320;1954,348;121,797;952,357;611,843;3875,452;176,019;-30,956;-40,370;3398,947;315,335;107,874;2,549;1698,452;1456,170;80,121;-19,194;322,731;323,669;28,557;-21,598;411,586;209,958;1079,278;992,475;831,461;399,135;156,305;1107,471;673,848;105,959;294,243;22,940;0,000;0,000;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;2914,575;1380,775;464,583;337,317;4,388;3626,563;2145,869;966,288;1758,035;162,059;408,438;411,518;201,889;7,684;802,490;26,275;31,679;894,367;1867,333;3592,069;544,085;67,216;1113,085;58,298;-0,515;254,950;497,484;559,291;48,523;898,846;4179,221;529,576;320,605;0,392;35,343;143,176;4,800;194,609;348,390;194,453;1442,989;558,353;477,752;2521,893;17,376;386,245;218,507;43,119;45,810;27,171;0,000;0,000;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;7440,747;1093,238;544,439;21,806;698,323;1743,632;194,922;354,993;2228,813;4998,642;2277,901;579,112;136,127;1438,361;250,835;955,424;322,112;7717,704;1232,143;3055,799;5343,912;14877,264;7033,422;4415,960;16409,992;8325,729;1447,573;543,209;-1,466;1838,375;1181,673;1373,384;-3,069;611,379;804,391;98,988;-71,420;222,432;221,936;5659,909;2065,057;1730,048;3940,837;460,992;5509,460;5298,702;511,287;289,792;263,640;0,000;0,000;0,000;0,000;0,000;0,000
