;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5,000;0,000;0,000;0,000;0,000;1917,000;2445,000;0,000;3478,000;2989,000;11109,000;1533,000;225,000;121,000;13,000;410,000;374,000;10,000;68,000;217,000;673,000;179,000;117,000;53,000;119,000;62,000;131,000;2494,000;13268,000;5306,000;1500,000;1359,000;3737,000;2492,000;1422,000;3489,000;1919,000;3499,000;3517,000;897,000;913,000;343,000;214,000;4,000;0,000;10,000;0,000;0,000;118,000;13,000;8271,000;14,000;535,000;545,000;77,000;924,000;459,000;127,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;9,000;0,000;0,000;0,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;9,000;1540,000;9,000;2227,000;1540,000;6231,000;0,000;954,000;505,000;2101,000;66,000;1478,000;57,000;0,000;274,000;78,000;255,000;54,000;20,000;49,000;501,000;481,000;263,000;675,000;0,000;1,000;1,000;1,000;12,000;1,000;32,000;226,000;222,000;204,000;113,000;238,000;561,000;0,000;0,000;71,000;10,000;321,000;0,000;2,000;38,000;0,000;69,000;17,000;0,000;916,000;6718,000;0,000;1566,000;36,000;357,000;217,000;0,000;0,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;38,000;0,000;0,000;53,000;917,000;0,000;0,000;0,000;86,000;0,000;29,000;0,000;0,000;0,000;715,000;0,000;90,000;1,000;4,000;250,000;48,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,000;27,000;0,000;0,000;0,000;4,000;4,000;0,000;0,000;0,000;0,000;21,000;0,000;10,000;106,000;166,000;736,000;0,000;0,000;24,000;9,000;0,000;0,000;2,000;44,000;8,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;225,000;1536,000;4749,000;2064,000;0,000;1,000;6,000;0,000;0,000;3430,000;500,000;0,000;1,000;50,000;0,000;49,000;0,000;0,000;740,000;91,000;12,000;0,000;3,000;3,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;51,000;0,000;1276,000;0,000;0,000;151,000;0,000;259,000;141,000;3,000;45,000;38,000;15,000;0,000;197,000;1853,000;1540,000;0,000;651,000;0,000;0,000;0,000;0,000;7,000;210,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;539,000;225,000;355,000;0,000;332,000;340,000;249,000;2,000;223,000;2,000;0,000;0,000;5,000;0,000;5,000;5,000;8,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;51,000;0,000;35,000;50,000;42,000;58,000;0,000;46,000;0,000;6,000;0,000;0,000;14,000;0,000;0,000;2,000;0,000;0,000;2,000;2,000;169,000;9,000;0,000;141,000;0,000;70,000;90,000;0,000;352,000;756,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1484,000;4751,000;3,000;430,000;5027,000;493,000;334,000;1264,000;26,000;0,000;356,000;166,000;273,000;136,000;46,000;56,000;603,000;257,000;170,000;1962,000;5,000;10,000;2,000;0,000;759,000;16,000;5,000;58,000;757,000;1054,000;3006,000;0,000;370,000;0,000;22,000;1370,000;429,000;790,000;182,000;26,000;267,000;95,000;457,000;122,000;20,000;662,000;2218,000;13,000;7002,000;6,000;249,000;180,000;0,000;13,000;183,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2061,000;0,000;290,000;20,000;1836,000;752,000;5116,000;1682,000;0,000;94,000;124,000;20,000;91,000;90,000;368,000;740,000;91,000;14,000;19,000;33,000;40,000;223,000;6,000;41,000;198,000;1,000;571,000;708,000;190,000;1042,000;368,000;2517,000;0,000;0,000;151,000;95,000;259,000;141,000;3,000;45,000;38,000;15,000;140,000;241,000;2206,000;1540,000;96,000;651,000;13,000;524,000;84,000;85,000;7,000;210,000;0,000;0,000;0,000;0,000;0,000;0,000
