;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;420;236;20;35;168;9;391;10;11;0;11;153;3;2;13;109;174;127;157;123;122;127;309;559;2;3729;59;1107;19;14;0;134;2738;512;453;0;0;0;0
Router 3;;;;89;5250;3204;8126;7097;628;1587;1571;876;983;7095;2908;333;2170;10479;6997;5792;8498;5491;5458;1459;6231;7351;3253;3761;1255;420;2348;480;587;4692;20159;5743;5196;0;0;6215;0
Router 4;;;;;0;0;0;0;44;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;150;11;1;0;0;6;0;0;0;13;68;6;5;0;0;0;0
Router 5;;;;;;0;0;0;0;0;32;6;48;111;19;4;37;191;848;42;343;62;42;77;194;838;175;2;0;20;54;42;127;731;1375;761;272;0;0;194;0
Router 6;;;;;;;4933;0;787;0;25;127;51;128;122;9;42;482;394;46;249;263;146;22;230;231;87;9;1;35;20;36;55;494;2024;895;94;0;0;230;0
Router 7;;;;;;;;0;3495;1;60;2156;525;1236;281;19;5099;3310;4013;395;2031;1823;1453;133;1569;238;556;20;8;168;738;211;776;1276;4910;1851;382;0;0;1569;0
Router 8;;;;;;;;;6927;0;186;418;443;1321;1624;45;563;1303;1314;222;1701;1781;989;240;463;34;120;0;0;9;566;170;107;438;1812;164;1295;0;0;463;0
Router 9;;;;;;;;;;567;2475;788;1737;4032;57;3;2245;247;5020;1233;9631;3677;2758;1547;44;12;2724;38;1;391;27;932;1779;5933;441;38;46;0;0;0;0
Router 10;;;;;;;;;;;0;6;0;5;1;0;2;93;80;3;101;2;0;14;16;913;91;2;0;10;31;0;12;325;418;319;112;0;0;16;0
Router 11;;;;;;;;;;;;223;178;199;185;21;33;233;245;16;264;142;20;9;40;40;56;16;0;11;116;22;1352;229;718;255;190;0;0;40;0
Router 12;;;;;;;;;;;;;13;193;13;13;485;297;168;84;200;337;337;97;41;2;7;228;33;0;12;80;0;24;39;4;12;0;0;41;0
Router 13;;;;;;;;;;;;;;2745;9;6;10;55;25;24;2721;82;82;103;12;0;0;769;3;11;15;333;0;12;12;6;1;0;0;12;0
Router 14;;;;;;;;;;;;;;;56;33;176;249;261;7371;11477;237;235;412;146;1135;317;1259;17;153;36;338;52;1281;1379;453;757;0;0;146;0
Router 15;;;;;;;;;;;;;;;;335;15;191;16;42;207;78;73;21;10;1;88;0;0;3;68;5;14;69;28;10;5;0;0;10;0
Router 16;;;;;;;;;;;;;;;;;0;6;10;24;100;10;8;6;5;0;65;0;0;2;0;0;2;66;23;10;0;0;0;5;0
Router 17;;;;;;;;;;;;;;;;;;3507;284;130;870;118;105;41;860;172;670;276;2;13;10;7;61;124;952;242;116;0;0;860;0
Router 18;;;;;;;;;;;;;;;;;;;507;172;1835;373;367;77;90;535;1514;391;14;109;214;51;358;613;2533;184;380;0;0;88;0
Router 19;;;;;;;;;;;;;;;;;;;;231;1001;323;322;159;113;1961;707;129;21;174;70;10;25;1828;2276;760;777;0;0;113;0
Router 20;;;;;;;;;;;;;;;;;;;;;7346;137;135;304;131;1133;289;480;10;127;21;2;52;1219;1276;444;755;0;0;131;0
Router 21;;;;;;;;;;;;;;;;;;;;;;624;622;599;151;1625;6296;1879;98;157;113;386;60;1411;1457;466;781;0;0;150;0
Router 22;;;;;;;;;;;;;;;;;;;;;;;9969;416;2061;795;245;10;0;123;49;125;344;1145;1734;499;328;0;0;2061;0
Router 23;;;;;;;;;;;;;;;;;;;;;;;;267;2061;795;245;9;0;122;48;125;344;1145;1734;499;328;0;0;2061;0
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;88;32;184;13;1;127;17;53;211;112;948;7;181;0;0;88;0
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;11;4;230;441;6;2;35;0;13;68;6;5;0;0;6401;0
