;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;261,063;55,820;9,087;56,983;120,886;-37,853;326,700;26,444;-27,848;-20,596;87,778;172,437;-43,447;-25,028;16,903;22,034;66,316;99,399;116,440;102,380;103,911;82,435;297,263;505,615;9,058;3816,579;65,293;1087,944;14,116;38,767;-0,685;134,925;2671,295;432,850;497,281;0,000;0,000;238,825;0,000
Router 3;;;;59,410;5299,143;3029,396;8499,260;7073,034;525,950;1645,122;1549,554;858,438;785,320;6963,607;2874,934;447,180;2165,557;10500,267;6769,127;5713,683;10489,473;5681,946;5585,877;1570,708;6138,612;7273,095;3238,925;3726,735;1220,590;234,401;2220,708;390,247;646,721;4771,287;20257,208;5705,460;5272,860;0,000;0,000;6186,257;0,000
Router 4;;;;;15,155;11,346;-34,285;6,420;-6,823;-4,761;-42,326;-6,649;-19,391;24,557;-10,622;3,348;-0,104;-12,859;-46,767;37,899;36,481;-40,956;-40,697;-7,452;132,451;17,688;11,387;-54,188;14,377;6,998;19,454;20,676;-23,201;-11,193;65,010;-4,332;15,400;0,000;0,000;-8,853;0,000
Router 5;;;;;;14,172;1,146;-0,772;-2,136;33,682;4,294;-28,516;9,462;81,029;-0,523;5,127;77,018;243,894;895,177;75,078;339,546;40,611;3,298;122,986;166,783;893,830;163,608;45,826;-11,323;21,793;41,297;55,694;112,664;682,941;1363,376;774,978;304,080;0,000;0,000;198,631;0,000
Router 6;;;;;;;4916,966;-149,403;664,174;22,386;-32,955;111,233;25,343;91,722;64,394;12,215;-45,475;394,552;384,570;15,726;193,734;184,581;78,175;17,249;206,522;214,154;81,243;12,072;9,114;9,595;-26,389;25,470;32,268;502,538;1972,898;888,096;82,913;0,000;0,000;238,364;0,000
Router 7;;;;;;;;0,492;3466,708;-5,071;-23,553;2249,928;479,373;1177,712;230,463;-33,096;4597,280;3272,809;4125,594;379,068;1929,460;1869,022;1478,014;147,390;1513,656;148,681;476,052;-55,433;-32,412;145,166;745,713;199,339;745,747;1240,332;4874,050;1861,380;237,038;0,000;0,000;1566,896;0,000
Router 8;;;;;;;;;6976,262;-99,174;246,905;424,522;481,262;1317,783;1655,548;54,367;483,877;1324,447;1263,246;235,936;1672,938;1770,748;1017,226;299,755;395,785;-65,026;19,236;-84,423;-21,860;37,423;496,032;144,711;140,878;431,694;1784,786;108,136;1318,161;0,000;0,000;407,595;0,000
Router 9;;;;;;;;;;511,110;2484,109;726,377;1770,088;4120,151;15,559;-81,805;2215,107;230,885;5091,430;1286,209;7609,185;3640,103;2701,424;1551,878;27,606;34,864;2709,319;-67,481;69,697;301,099;25,132;880,104;1781,522;6011,672;333,816;53,137;-11,671;0,000;0,000;3,967;0,000
Router 10;;;;;;;;;;;-55,112;24,748;-15,526;-46,083;12,429;-5,715;67,043;71,646;84,016;-44,403;44,114;20,171;78,340;13,745;24,412;927,603;95,891;-5,059;16,318;5,043;-10,312;-8,933;-24,162;333,506;515,223;411,874;158,835;0,000;0,000;20,085;0,000
Router 11;;;;;;;;;;;;198,766;142,255;175,183;173,103;53,550;51,728;289,931;228,499;-5,079;276,012;126,356;16,518;38,169;68,488;-6,947;79,373;-32,361;0,724;-33,594;115,411;-4,136;1405,234;194,371;619,446;199,580;230,821;0,000;0,000;78,752;0,000
Router 12;;;;;;;;;;;;;40,067;212,477;24,237;3,919;465,194;267,982;163,457;51,531;206,741;338,777;350,649;69,688;-7,489;22,121;-7,985;177,739;1,485;-24,687;24,752;45,961;1,613;-19,739;135,867;62,166;30,767;0,000;0,000;10,833;0,000
Router 13;;;;;;;;;;;;;;2804,800;-40,967;-18,056;-11,107;91,396;39,806;31,967;2793,898;80,413;61,174;64,297;-25,346;-18,386;14,104;852,229;42,132;-13,986;-16,716;318,101;-13,838;36,396;-57,346;-39,739;-18,352;0,000;0,000;-20,261;0,000
