;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 3;;;;0;96;57;2411;736;39;0;138;13;16;0;73;0;17;251;7;1;5;5;193;20;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1887;515;0;0;0;0;0;0;0;0;0
Router 4;;;;;0;0;0;0;0;281;0;0;129;37;0;0;0;0;49;22;0;52;0;0;100;200;46;21;20;0;0;5;0;0;0;1;0;0;0;10;5;35;1;0;0;0;2;10;5;0;3;0;145;0;0;37;129;52;13;0;0;0;0
Router 5;;;;;;0;4316;0;0;15;0;0;614;858;0;0;2;0;0;0;0;761;0;0;0;0;0;0;0;0;0;175;32;6;48;21;15;4;37;191;848;42;57;20;42;77;194;838;175;2;0;20;54;42;127;731;614;761;272;0;0;0;0
Router 6;;;;;;;4933;0;0;113;9;0;1129;549;0;0;0;0;0;0;0;895;0;0;0;0;0;0;0;0;0;87;25;127;51;31;113;9;42;482;394;46;34;95;146;22;230;231;87;9;1;35;20;36;55;494;1129;895;94;0;0;0;0
Router 7;;;;;;;;10252;1103;453;359;221;3690;1648;154;77;3073;3981;1002;878;97;5355;7078;1335;0;0;5891;4254;955;80;186;5078;324;3310;2404;1097;331;82;2222;5923;6896;1812;797;2005;1464;656;6093;3703;4328;22;12;874;1926;473;371;1276;3673;4362;5636;0;0;0;0
Router 8;;;;;;;;;0;1579;0;0;1648;545;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;120;186;418;443;656;1579;45;563;1303;1314;222;260;792;989;240;463;34;120;0;0;9;566;170;107;438;1648;164;1295;0;0;0;0
Router 9;;;;;;;;;;54;0;0;409;304;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;90;2;10;61;16;54;3;185;247;142;41;43;0;0;29;44;12;74;6;1;1;27;11;64;240;403;38;46;0;0;0;0
Router 10;;;;;;;;;;;159;0;228;337;0;0;15;171;2;0;57;428;73;9;82;168;16;0;0;0;0;96;0;6;0;3;2402;0;2;103;84;35;6;2;0;14;18;923;96;2;0;10;31;0;12;325;228;371;112;0;0;0;0
