;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;-8,913;76,938;69,078;2240,001;691,539;38,527;-67,080;180,598;-8,479;37,845;24,332;45,429;12,356;-1,064;239,587;-3,460;1,428;-2,111;4,071;189,440;28,702;5,965;10,442;-28,869;-21,027;-1,511;-34,362;18,920;-37,918;-10,443;-17,997;-22,187;7,967;-31,962;3,273;-14,075;10,826;-2,047;14,032;3,211;3,327;7,609;19,457;-30,698;-19,877;-45,868;4,071;45,784;-11,537;1892,170;538,865;7,977;1,400;30,303;-15,314;0,736;0,000;0,000;0,000;0,000
Router 4;;;;;30,289;17,655;56,012;0,422;-0,155;318,751;-28,617;6,732;144,387;32,575;3,435;3,870;-5,714;32,236;-16,003;32,342;6,826;44,475;-31,754;-12,765;116,033;206,855;-4,178;-43,781;17,870;-9,248;8,540;14,428;2,314;6,512;-9,516;-4,403;4,125;16,434;18,477;-18,607;-13,707;37,553;-3,860;-6,595;-10,304;3,461;-6,810;-38,259;19,475;9,488;7,389;-9,384;134,796;-1,233;-7,396;43,625;132,747;36,253;2,290;0,000;0,000;0,000;0,000
Router 5;;;;;;14,172;4318,517;-0,772;27,927;27,490;-35,742;-12,037;645,734;810,958;2,177;-21,210;3,578;-0,897;27,527;10,213;-30,725;714,863;32,157;16,205;-30,606;24,334;34,194;44,045;-28,685;-6,643;-16,584;237,639;8,727;-0,668;3,103;1,012;-5,696;12,254;52,167;269,657;873,502;57,482;93,628;36,206;-9,438;79,723;158,828;855,680;190,697;34,208;-19,138;-1,157;52,842;28,058;112,664;682,941;651,309;774,978;304,080;0,000;0,000;0,000;0,000
Router 6;;;;;;;4779,560;-149,403;-13,428;90,972;-56,098;-26,228;1052,566;550,344;15,219;-47,181;-36,344;-22,273;-34,424;-46,292;-17,866;907,768;-52,194;-25,677;-42,834;6,052;10,248;37,844;-6,292;16,078;-54,239;89,673;-27,823;78,045;38,037;4,471;108,210;20,084;50,212;405,252;391,596;21,958;49,759;126,146;103,379;14,591;220,037;186,778;87,785;-0,298;-35,785;-2,097;11,196;25,275;32,268;502,538;1078,798;888,096;82,913;0,000;0,000;0,000;0,000
Router 7;;;;;;;;10290,334;945,881;325,155;329,862;72,389;3758,608;1711,740;43,645;-23,766;3118,450;3963,237;1022,906;765,082;78,674;5372,319;7092,414;1287,750;-137,561;-36,600;5882,527;4302,561;1004,674;-103,250;23,723;4995,052;181,832;3356,382;2292,515;1083,662;119,128;-64,274;2124,410;6011,518;6963,617;1762,342;854,714;2028,599;1434,687;679,790;6042,648;3660,066;4291,676;219,400;-75,112;733,011;1802,660;488,891;439,582;1331,477;3634,950;4393,392;5507,129;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;23,179;1526,248;50,864;-63,749;1613,363;550,999;29,440;-44,089;-45,330;-47,054;2,837;27,422;31,703;117,281;55,204;14,344;65,686;-45,376;-62,877;-37,719;18,141;-37,134;18,474;91,912;165,570;396,508;530,196;643,460;1596,676;68,841;553,177;1276,810;1333,847;213,844;249,588;755,453;912,693;312,081;440,501;-50,558;28,338;-58,431;30,201;21,056;506,080;215,261;140,878;431,694;1621,715;108,136;1318,161;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;32,986;-8,584;-9,835;396,358;278,192;-1,642;-0,467;-11,382;-24,649;-43,186;-3,663;-5,894;59,405;-62,134;-1,771;10,403;-8,528;-15,428;-5,001;-23,874;15,226;11,032;93,346;9,110;-31,773;7,160;10,710;4,524;-7,474;163,783;221,135;103,906;56,951;74,534;-0,611;-34,199;27,115;0,142;-6,049;114,579;5,076;9,433;-21,890;35,323;31,872;53,061;204,915;411,942;74,416;22,555;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;163,794;-7,690;211,381;247,164;20,319;19,157;20,547;103,462;-49,450;8,323;101,420;451,155;76,020;70,455;108,793;163,753;-24,223;-39,259;-13,677;-3,183;-18,810;110,150;6,413;-7,025;-34,016;-43,915;2409,896;17,344;35,474;103,239;25,875;-8,975;1,389;-6,360;-62,776;12,269;35,352;918,747;91,638;6,226;-8,487;0,693;-29,845;10,641;3,352;273,815;262,047;341,825;107,524;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;24,704;469,892;1601,627;5,764;42,222;-37,297;-11,393;-62,677;-15,306;1,121;192,068;58,536;39,569;6,750;-3,138;19,953;-61,851;24,597;14,067;-0,398;38,549;2,036;209,168;154,706;-19,164;118,133;17,228;31,005;216,755;215,007;28,783;-16,188;114,609;12,175;-20,214;17,712;47,983;67,325;31,012;0,575;-7,550;168,811;31,382;1408,764;198,031;486,687;223,329;211,040;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;25,744;13,813;-2,436;20,929;-19,151;-52,186;-17,936;-9,762;0,020;39,716;16,566;2,356;-1,080;18,214;-56,126;-40,965;-8,613;0,669;352,784;98,430;0,264;-11,797;1,442;-8,115;5,996;-2,291;-2,084;-20,530;24,416;13,255;-27,441;-36,050;-35,389;-32,387;49,210;23,049;104,122;16,058;-4,225;-0,641;0,270;6,160;-13,136;17,547;28,279;36,721;101,871;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;78,468;-41,909;-12,794;682,941;2405,011;1358,823;756,504;63,876;21,828;2276,017;1026,704;58,958;67,511;2317,650;2217,570;128,318;-52,407;57,015;143,712;-22,542;2,488;-22,845;-96,428;-10,448;-31,148;-32,641;65,630;-15,877;-67,258;15,598;-89,027;-2,263;-3,193;-60,922;24,144;11,313;4,996;36,523;-22,174;-11,927;-37,533;-46,718;17,276;16760,644;5,561;80,176;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;17,520;101,200;115,529;1007,658;1828,946;1245,342;28,639;-52,729;1801,333;340,679;-4,053;19,085;2012,262;1485,496;234,288;68,462;54,357;190,751;-29,368;35,202;10,582;17,782;-14,918;18,084;-4,264;-32,163;56,607;-8,137;23,993;60,006;25,602;-30,774;-44,445;-18,502;48,016;-49,539;-7,071;9,326;68,263;22,098;3109,811;10697,094;16,026;-132,383;58,066;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-5,716;4,359;-7,130;-82,136;-8,067;10,699;16,105;-60,111;-10,009;-3,812;1,293;-8,970;-12,137;9,852;4,956;1,059;39,214;8,468;-10,474;0,264;-11,028;10,959;9,667;-31,591;0,151;46,920;21,178;27,634;-5,823;7,796;6,816;-22,994;-44,987;33,264;-2,843;-7,381;1,304;54,381;-2,192;42,468;-13,127;-29,028;9,180;-22,586;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-23,285;-3,841;-3,141;29,504;8,740;-43,720;6,532;-20,237;3,194;-6,880;-58,111;-65,093;3,813;-1,368;4,920;66,549;11,877;-9,033;-24,165;6,114;1,708;-6,492;-5,204;-11,439;-52,221;-11,031;23,892;13,831;-5,143;-4,854;15,486;-8,960;73,291;15,209;-1,670;-4,257;14,034;-3,922;20,438;82,909;-11,440;-36,657;30,139;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-47,636;-73,867;5,714;33,735;177,172;5,373;-8,107;28,343;-7,324;-51,407;-56,283;22,365;-27,082;-5,166;666,161;-10,910;516,872;-0,051;40,859;27,973;-9,630;22,023;161,275;195,295;82,774;36,940;-7,073;25,475;8,103;874,809;192,221;665,719;-7,023;7,532;16,826;-6,288;-9,574;24,525;72,789;698,182;176,009;159,130;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-27,595;-4,183;-9,300;111,593;-14,835;8,940;-31,698;-9,555;79,951;38,061;-37,291;-5,755;-18,838;1496,074;10,364;298,717;-5,382;-9,611;106,252;11,149;26,215;161,631;258,235;-20,796;10,737;1,093;75,748;32,354;43,423;488,665;1502,666;13,653;19,625;94,940;254,417;6,085;346,106;656,556;2424,832;107,370;349,474;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-54,229;-4,624;786,991;8,816;-9,522;-23,087;-38,084;6,145;-21,731;-2,966;-72,167;-9,431;656,152;29,234;164,366;57,981;-26,507;-88,659;-24,238;146,371;223,942;166,945;10,677;60,976;11,982;-15,783;-17,092;91,009;1933,284;626,831;-49,806;16,112;119,695;96,597;15,842;-51,156;1799,859;1383,013;752,946;706,202;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;30,450;426,157;-3,935;-11,323;63,700;21,880;-100,442;-48,773;29,323;-23,160;-10,447;290,072;13,060;68,310;36,152;-55,320;49,901;-17,390;17,970;111,132;236,307;80,648;75,893;15,377;12,041;21,251;111,706;1052,667;288,631;12,288;-37,627;108,972;9,105;-14,895;31,177;1169,027;771,649;419,624;737,260;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;195,823;-26,039;-11,356;-3,784;14,960;-3,721;-24,221;13,019;3,951;2,112;-0,992;1,290;4,373;-1,711;22,978;78,509;0,059;-1,904;57,322;19,767;4,033;-13,928;-14,060;39,229;3,277;25,392;23,170;-21,763;-5,583;-10,514;0,195;3,475;4,158;15,870;11,344;51,831;7,084;13,040;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;521,104;48,610;-46,290;76,423;479,806;406,117;41,808;10,457;-14,857;63,043;-32,465;-6,545;-43,684;-30,110;26,261;-33,834;12,149;24,930;-7,971;-10,635;-17,946;959,241;-10,788;-38,962;-23,731;23,678;-1,150;6,987;-98,075;-17,914;-25,982;2,095;-43,691;-33,839;-24,186;6298,568;37,783;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2644,252;-78,037;-4,694;-103,367;-37,963;31,530;-16,006;30,799;421,476;50,540;420,033;149,591;-9,337;12,692;-24,329;6,178;339,220;355,958;417,754;129,041;39,814;87,162;9,699;2165,231;821,922;393,535;25,409;-33,622;98,235;25,928;135,080;557,724;1316,747;2231,373;524,919;495,335;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-30,885;-4,662;-46,934;-32,151;12,971;-0,434;10,984;233,816;-12,609;72,611;86,177;0,307;28,671;-5,504;-4,552;81,754;166,205;269,506;20,593;37,316;90,057;14,754;81,576;-13,193;198,840;19,757;-6,981;-0,409;1,802;7,377;216,679;140,902;996,190;53,198;186,755;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;6,947;-25,584;-24,691;-12,159;-4,538;6,582;34,188;-4,265;-4,083;-0,502;-15,561;22,363;6,584;11,851;7,523;22,953;-3,708;9,573;-11,398;-2,383;-11,605;-37,784;31,440;3,463;2,048;3,067;8,376;6,368;-1,776;-3,905;-14,407;60,670;-44,167;14,366;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;23,737;-10,379;-1,657;1,895;13,250;-34,208;-7,394;-18,232;-0,754;5,874;-21,557;1,721;-9,338;-64,963;86,301;26,053;-10,699;2,274;-2,783;16,049;-4,825;11,036;-22,983;-3,228;3,435;-16,045;-3,488;6,267;9,683;-1,884;67,028;64,601;3,105;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7980,425;1302,872;167,994;-47,481;714,197;9,380;246,058;845,452;0,428;-45,357;-65,244;251,617;57,839;184,660;448,324;31,203;-12,505;14,998;-31,906;608,403;933,663;696,535;-1,689;-29,613;99,395;32,603;23,744;2,339;1949,954;2339,469;478,953;647,608;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,070;-50,476;-48,941;564,349;-5,899;228,194;794,734;-14,774;-14,767;-48,202;259,312;51,269;94,207;435,804;24,168;5,233;-0,169;-18,082;199,814;374,493;580,296;2,034;-25,562;33,220;-9,650;5,532;-19,662;1475,953;2171,128;399,934;489,499;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,343;0,782;124,772;5,932;7,686;23,481;24,453;-29,890;-4,753;24,240;-16,601;23,266;36,544;-3,764;-25,791;28,521;-13,249;488,256;31,120;131,893;-1,622;-9,088;54,611;9,108;7,905;35,954;179,967;118,837;77,520;171,671;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,587;-56,199;11,614;-77,401;0,731;-9,349;-2,487;2,105;33,294;14,792;21,422;-15,257;-2,564;1,488;0,696;9,074;31,375;36,690;-48,652;6,263;-1,362;-0,337;-30,540;1,543;-6,513;60,042;-39,372;-4,255;-6,765;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116,059;-5,502;-32,570;-8,790;-4,436;15,663;0,215;3,858;-6,808;-12,633;-1,132;-15,396;-19,903;-19,178;-12,214;5,246;5,917;115,890;15,841;-4,162;-11,479;17,208;11,613;21,596;24,164;68,397;-24,652;47,512;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-44,841;55,786;324,396;15,986;-1,348;-25,285;10,259;63,686;55,771;15,333;23,316;-7,598;-12,260;35,359;-17,887;85,620;5563,718;29,380;-36,586;-26,601;19,521;-49,553;-25,667;153,821;154,850;94,212;8,455;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31,840;-22,737;-10,555;21,072;5,424;-2,161;8,496;29,755;-23,582;-3,968;10,412;-13,242;-5,690;41,352;17,204;-46,880;-11,078;-1,080;12,047;-18,541;-5,086;21,865;-25,554;-21,441;-50,342;-14,073;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,681;-3,919;-15,243;9,112;18,699;-17,367;-0,268;-16,071;27,652;11,911;-5,136;-17,515;-30,799;78,655;4,991;-12,568;12,230;-5,153;-16,288;-0,402;-8,688;-44,441;-10,948;24,207;-4,242;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,767;-37,759;-14,145;-33,513;32,883;-0,198;22,751;4,139;-55,515;8,773;-1,094;-67,882;7,284;2,337;-7,996;24,537;-41,349;-39,603;20,294;3,813;-6,795;-27,839;-21,746;8,555;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-25,646;7,833;-18,713;-8,864;-22,072;-5,043;-5,898;-11,725;0,501;18,644;15,096;-42,097;16,564;-23,690;-5,929;17,266;14,636;-1,714;14,512;6,140;-108,120;-9,465;-10,042;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,164;0,872;-13,760;-44,181;-43,401;23,528;2,038;-36,059;22,634;-29,953;-35,153;-26,649;-19,870;-18,683;-5,440;-21,042;28,545;15,774;-27,991;-32,529;-37,192;-39,865;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,769;16,486;10,121;-11,519;8,933;-32,305;0,419;-1,361;-24,270;-37,940;-24,038;-7,190;-2,026;-2,441;11,508;-4,732;10,421;-0,723;-26,817;-32,934;-13,294;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-47,024;30,140;-34,749;14,487;-32,131;-4,815;23,993;-47,646;-18,379;-16,697;2,821;-20,827;27,908;-3,666;-23,269;30,356;-58,737;-29,339;0,797;12,625;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,584;33,794;-57,664;7,640;-6,615;-29,954;-73,781;-57,625;28,409;41,400;37,548;-48,909;49,006;7,663;39,356;-41,685;25,243;-22,986;-59,058;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,459;22,091;6,054;-38,897;20,972;6,817;-65,949;39,756;33,947;-52,011;-45,176;-50,401;22,734;-6,469;14,064;-31,056;-10,503;-70,637;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,505;13,340;-29,578;10,192;-4,731;-56,359;19,866;37,688;19,461;25,413;15,641;9,092;26,029;-10,595;-62,070;-11,009;18,402;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,424;5,509;2,418;-28,177;19,272;33,304;7,984;0,309;-12,677;3,801;10,454;-16,005;16,457;26,032;-35,508;8,744;0,000;0,000;0,000;0,000
