;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;96,000;57,000;2411,000;736,000;39,000;0,000;138,000;13,000;16,000;0,000;73,000;0,000;17,000;251,000;7,000;1,000;5,000;5,000;193,000;20,000;0,000;0,000;0,000;0,000;0,000;0,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,000;0,000;1887,000;515,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;281,000;0,000;0,000;129,000;37,000;0,000;0,000;0,000;0,000;49,000;22,000;0,000;52,000;0,000;0,000;100,000;200,000;46,000;21,000;20,000;0,000;0,000;5,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;10,000;5,000;35,000;1,000;0,000;0,000;0,000;2,000;10,000;5,000;0,000;3,000;0,000;145,000;0,000;0,000;37,000;129,000;52,000;13,000;0,000;0,000;0,000;0,000
Router 5;;;;;;0,000;4316,000;0,000;0,000;15,000;0,000;0,000;614,000;858,000;0,000;0,000;2,000;0,000;0,000;0,000;0,000;761,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;175,000;32,000;6,000;48,000;21,000;15,000;4,000;37,000;191,000;848,000;42,000;57,000;20,000;42,000;77,000;194,000;838,000;175,000;2,000;0,000;20,000;54,000;42,000;127,000;731,000;614,000;761,000;272,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;4933,000;0,000;0,000;113,000;9,000;0,000;1129,000;549,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;895,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;87,000;25,000;127,000;51,000;31,000;113,000;9,000;42,000;482,000;394,000;46,000;34,000;95,000;146,000;22,000;230,000;231,000;87,000;9,000;1,000;35,000;20,000;36,000;55,000;494,000;1129,000;895,000;94,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;10252,000;1103,000;453,000;359,000;221,000;3690,000;1648,000;154,000;77,000;3073,000;3981,000;1002,000;878,000;97,000;5355,000;7078,000;1335,000;0,000;0,000;5891,000;4254,000;955,000;80,000;186,000;5078,000;324,000;3310,000;2404,000;1097,000;331,000;82,000;2222,000;5923,000;6896,000;1812,000;797,000;2005,000;1464,000;656,000;6093,000;3703,000;4328,000;22,000;12,000;874,000;1926,000;473,000;371,000;1276,000;3673,000;4362,000;5636,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;0,000;1579,000;0,000;0,000;1648,000;545,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;164,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;120,000;186,000;418,000;443,000;656,000;1579,000;45,000;563,000;1303,000;1314,000;222,000;260,000;792,000;989,000;240,000;463,000;34,000;120,000;0,000;0,000;9,000;566,000;170,000;107,000;438,000;1648,000;164,000;1295,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;54,000;0,000;0,000;409,000;304,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;38,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;90,000;2,000;10,000;61,000;16,000;54,000;3,000;185,000;247,000;142,000;41,000;43,000;0,000;0,000;29,000;44,000;12,000;74,000;6,000;1,000;1,000;27,000;11,000;64,000;240,000;403,000;38,000;46,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;159,000;0,000;228,000;337,000;0,000;0,000;15,000;171,000;2,000;0,000;57,000;428,000;73,000;9,000;82,000;168,000;16,000;0,000;0,000;0,000;0,000;96,000;0,000;6,000;0,000;3,000;2402,000;0,000;2,000;103,000;84,000;35,000;6,000;2,000;0,000;14,000;18,000;923,000;96,000;2,000;0,000;10,000;31,000;0,000;12,000;325,000;228,000;371,000;112,000;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;0,000;463,000;1581,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;255,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;56,000;3,000;223,000;178,000;5,000;159,000;5,000;33,000;228,000;241,000;16,000;9,000;122,000;1,000;8,000;40,000;40,000;56,000;21,000;0,000;9,000;116,000;22,000;1352,000;229,000;463,000;255,000;190,000;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;71,000;68,000;0,000;0,000;0,000;0,000;3,000;0,000;0,000;54,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;339,000;73,000;0,000;7,000;0,000;0,000;0,000;0,000;0,000;4,000;43,000;0,000;0,000;1,000;0,000;0,000;43,000;29,000;73,000;3,000;0,000;0,000;13,000;0,000;2,000;66,000;71,000;54,000;94,000;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;100,000;5,000;13,000;710,000;2369,000;1516,000;832,000;27,000;33,000;2176,000;943,000;62,000;67,000;2293,000;2093,000;158,000;4,000;36,000;141,000;0,000;13,000;0,000;0,000;0,000;0,000;0,000;48,000;22,000;0,000;0,000;0,000;0,000;0,000;12,000;0,000;0,000;28,000;0,000;0,000;15,000;1,000;0,000;12,000;16642,000;6,000;1,000;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;15,000;78,000;185,000;971,000;1853,000;1271,000;18,000;21,000;1812,000;323,000;13,000;24,000;1953,000;1511,000;188,000;134,000;44,000;208,000;0,000;96,000;0,000;0,000;0,000;0,000;0,000;4,000;0,000;0,000;0,000;0,000;0,000;0,000;3,000;1,000;26,000;10,000;0,000;15,000;0,000;0,000;3142,000;10625,000;88,000;3,000;1,000;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;7,000;5,000;0,000;3,000;2,000;0,000;0,000;0,000;14,000;6,000;18,000;4,000;3,000;1,000;6,000;5,000;1,000;7,000;0,000;0,000;1,000;68,000;5,000;12,000;3,000;5,000;0,000;5,000;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;10,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;71,000;16,000;13,000;6,000;3,000;0,000;0,000;0,000;6,000;6,000;24,000;2,000;2,000;0,000;3,000;5,000;0,000;65,000;17,000;0,000;2,000;0,000;0,000;2,000;66,000;13,000;10,000;0,000;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;242,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;669,000;0,000;485,000;10,000;36,000;15,000;0,000;14,000;134,000;111,000;127,000;23,000;13,000;0,000;33,000;860,000;172,000;669,000;3,000;0,000;11,000;10,000;7,000;61,000;124,000;710,000;242,000;116,000;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;184,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1512,000;5,000;297,000;7,000;18,000;171,000;0,000;22,000;177,000;274,000;24,000;40,000;6,000;51,000;13,000;88,000;527,000;1512,000;20,000;0,000;105,000;210,000;41,000;358,000;613,000;2349,000;184,000;380,000;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;0,000;0,000;760,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;680,000;4,000;146,000;3,000;5,000;0,000;4,000;173,000;233,000;146,000;7,000;17,000;1,000;1,000;46,000;113,000;1956,000;679,000;5,000;0,000;169,000;49,000;7,000;25,000;1828,000;1516,000;760,000;777,000;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;444,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;290,000;0,000;84,000;24,000;1,000;0,000;0,000;3,000;148,000;224,000;97,000;32,000;0,000;0,000;17,000;131,000;1098,000;287,000;0,000;1,000;122,000;21,000;1,000;52,000;1219,000;832,000;444,000;755,000;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;199,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;57,000;0,000;1,000;32,000;16,000;0,000;0,000;0,000;39,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;3,000;2,000;4,000;14,000;27,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;506,000;7,000;6,000;46,000;536,000;459,000;63,000;1,000;50,000;70,000;0,000;0,000;1,000;0,000;57,000;0,000;1,000;32,000;16,000;2,000;0,000;896,000;39,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;3,000;2,000;4,000;14,000;27,000;6255,000;0,000;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2610,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;429,000;20,000;434,000;185,000;23,000;73,000;11,000;113,000;380,000;434,000;422,000;104,000;48,000;121,000;57,000;2149,000;827,000;429,000;2,000;1,000;113,000;65,000;127,000;555,000;1257,000;2176,000;506,000;509,000;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;184,000;1,000;97,000;103,000;5,000;9,000;3,000;8,000;64,000;113,000;287,000;1,000;15,000;107,000;18,000;88,000;32,000;184,000;2,000;1,000;1,000;17,000;2,000;211,000;112,000;941,000;7,000;181,000;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;10,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;13,000;62,000;6,000;5,000;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;4,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;8,000;5,000;35,000;1,000;0,000;0,000;0,000;1,000;0,000;4,000;0,000;0,000;0,000;0,000;0,000;0,000;24,000;67,000;46,000;8,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7858,000;1301,000;218,000;0,000;713,000;17,000;261,000;783,000;6,000;16,000;0,000;280,000;115,000;183,000;496,000;25,000;2,000;19,000;15,000;680,000;983,000;713,000;1,000;2,000;120,000;44,000;0,000;34,000;1919,000;2293,000;536,000;611,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;599,000;15,000;225,000;769,000;0,000;0,000;0,000;275,000;95,000;129,000;480,000;20,000;1,000;9,000;1,000;230,000;426,000;599,000;0,000;2,000;63,000;19,000;0,000;18,000;1493,000;2093,000;459,000;437,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;80,000;0,000;33,000;3,000;4,000;0,000;0,000;2,000;14,000;21,000;9,000;1,000;0,000;0,000;0,000;441,000;60,000;80,000;0,000;0,000;57,000;20,000;0,000;12,000;176,000;158,000;63,000;147,000;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;2,000;2,000;0,000;11,000;0,000;0,000;0,000;2,000;4,000;5,000;5,000;2,000;1,000;10,000;14,000;6,000;12,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;134,000;4,000;1,000;3,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;4,000;21,000;0,000;0,000;1,000;0,000;0,000;2,000;27,000;69,000;0,000;0,000;0,000;2,000;0,000;2,000;42,000;36,000;50,000;82,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;80,000;332,000;3,000;0,000;0,000;0,000;10,000;3,000;1,000;0,000;0,000;0,000;51,000;35,000;42,000;5583,000;6,000;0,000;14,000;2,000;0,000;4,000;178,000;141,000;70,000;90,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
