;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 3;;;;0;0;8209;0;1956;0;0;0;7410;0;23;1687;13914;0;0;0;4;3863;36;3;9;8;0;0;646;20;0;0;3;15;187;36;868;422;4477;3616;433;199;11851;0;21386;4445;4086;2170;440;2;4043;505;1;2100;227;2;1099;2;749;30;406;278;0;1709;2;58;421;258;630;1278;1678;665;370;357;372;90;670;171;871;278;227;92;2753;2;2413;0;0;1229;0;2;0;2;381;0;357;333;46;309;328;625;3433;215;1411;3977;124;1318;3537;141;0;0;0;0;0;0;0;0
Router 4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 5;;;;;;3;0;0;42;203;0;122;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;1826;232;125;66;119;0;0;0;0;0;37;0;81;0;0;0;0;0;69;6;54;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;2;0;1;0;0;703;0;0;0;0;154;0;0;0;26;0;0;0;34;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0
Router 6;;;;;;;0;2313;853;1988;849;8533;13641;790;4344;1669;652;191;0;1405;17188;42;60;67;108;0;80;341;51;24;86;142;258;3306;1963;4129;3289;1356;1213;322;3;2923;0;11623;1093;1945;169;32;0;572;236;1;8497;42;578;3119;1;1285;42;330;107;42;504;88;12;60;1083;1900;1714;1680;3410;450;60;169;74;1227;248;44;54;130;170;6433;20;7711;10;2;4878;18;56;7;6;735;0;323;438;7;11;1663;47;1877;435;291;4921;270;1366;216;21;0;0;0;0;0;0;0;0
Router 7;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 8;;;;;;;;;323;2502;942;1008;1365;252;894;409;32;92;0;370;3480;13;13;12;15;5;4;3;20;49;5;6;25;184;14;444;477;379;368;169;3;8;0;528;409;177;34;0;2;8;44;0;22;0;188;366;29;66;0;59;0;52;0;81;0;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1349;0;0;0;0;0;900;0;0;0;5782;0;0;0;0;0;0;0;0;0;0
Router 9;;;;;;;;;;2335;0;786;0;0;235;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;331;0;0;0;0;0;180;3;0;25;22;1;5;1;0;0;1;0;0;0;0;3;0;0;16;46;9;25;5;4;3;5;0;2;0;0;3;0;34;0;648;0;0;139;0;2;0;0;5;0;0;45;17;9;16;20;498;26;13;286;6;247;180;0;0;0;0;0;0;0;0;0
Router 10;;;;;;;;;;;942;2706;0;0;177;0;0;1164;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;745;0;2229;0;0;0;0;0;283;146;8;933;29;6;380;30;150;10;21;1;52;27;81;5;213;2;129;194;291;626;44;16;26;51;7;13;1;41;105;1;229;0;849;1;1;245;0;8;0;0;21;0;3;134;26;18;119;44;851;173;109;750;19;2144;264;16;0;0;0;0;0;0;0;0
