;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;691,365;7483,446;0,000;1840,924;-11,069;-60,188;-296,654;7415,327;94,827;-77,212;1572,862;14030,886;28,537;-36,682;0,000;11,362;3830,844;19,454;22,675;-33,980;-6,366;-86,404;-37,476;711,692;-66,240;65,373;-6,158;-79,672;-91,387;149,310;12,035;772,344;347,131;4401,616;3560,430;330,000;243,731;11853,275;0,000;21595,783;4524,396;4093,666;2227,581;526,772;-51,186;4012,997;452,904;-0,048;2010,611;335,007;-71,257;1013,904;76,215;647,588;125,292;257,767;362,123;-14,997;1816,121;-158,711;48,854;416,612;45,368;651,370;1197,933;1704,239;713,112;338,363;395,346;287,653;31,193;640,696;14,011;721,737;222,316;242,824;81,918;2766,959;26,474;2405,162;-83,860;-28,867;1101,271;-125,086;-23,276;14,612;-49,984;263,915;0,000;263,567;262,953;-37,713;233,729;292,725;618,066;3477,747;354,023;1378,245;4006,980;151,926;1220,417;3545,560;220,078;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;128,954;0,000;-1,242;16,004;40,479;-9,657;16,672;41,667;-7,195;19,570;-26,770;6,136;-2,036;0,000;5,679;-38,728;1,046;15,807;6,223;11,948;3,645;-10,523;296,252;4,407;-7,588;16,678;15,008;-1,789;-12,997;-32,029;-58,744;21,247;-3,821;-9,911;190,099;-6,760;-1,269;0,000;906,295;239,965;121,901;70,472;117,083;-0,435;-25,294;1,472;-1,799;-48,138;35,785;-12,227;60,051;11,146;-24,833;8,655;-2,671;-0,845;87,815;40,750;30,009;-8,300;-20,292;11,911;-14,498;21,029;45,636;9,906;-10,759;2,831;34,938;-1,338;14,602;-36,013;-13,374;15,125;-3,896;12,741;-34,733;6,853;5,733;-19,376;3,312;717,685;12,388;6,903;-6,916;-5,620;137,687;0,000;-18,025;39,580;24,822;-0,162;22,945;15,412;14,493;3,023;8,598;-7,076;-17,457;-30,724;-19,156;-10,727;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2343,905;806,158;2030,303;785,317;8385,401;13736,676;767,399;4289,980;1650,832;530,585;110,030;0,000;1363,217;17284,275;57,564;157,017;147,604;25,194;7,306;55,182;340,239;29,470;81,618;71,605;51,623;144,827;3386,870;1941,209;4104,933;3311,101;1221,949;1126,421;297,618;102,187;2867,254;0,000;13554,752;1052,755;2007,174;131,079;28,041;-71,233;401,959;249,511;12,788;7466,549;-7,064;411,791;3135,757;-46,291;1578,616;16,882;219,764;-26,026;-74,506;422,899;129,250;-84,990;66,657;1029,871;1778,540;1800,612;1738,053;3398,342;392,364;67,302;177,929;-38,273;1175,153;235,476;105,089;10,100;135,982;97,096;6478,223;0,810;7697,532;-103,606;23,895;5080,539;-68,048;153,906;53,198;-38,099;686,106;0,000;277,510;378,630;-44,796;-59,429;1639,135;9,736;1895,505;386,390;107,581;4687,409;145,368;1391,577;104,613;5,576;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;307,362;2492,415;939,730;926,228;1292,465;302,211;896,852;376,511;20,517;75,904;0,000;405,233;3522,936;17,450;10,950;-13,495;-6,335;-9,526;26,682;-66,940;4,525;46,941;-5,244;-16,690;15,303;132,970;26,039;401,647;525,149;334,382;337,617;165,860;4,367;34,082;0,000;418,824;396,934;108,034;17,270;-25,915;-29,532;19,335;-13,213;-2,281;11,163;-4,656;186,047;358,064;16,052;92,766;47,442;22,660;-16,870;23,158;-42,834;58,418;-11,845;48,813;-13,485;-89,196;-39,726;-26,423;-4,172;-29,016;82,008;-4,691;247,902;-25,846;31,712;27,683;-34,277;-39,560;23,548;-15,771;0,839;-41,637;-27,847;-7,413;27,419;-11,712;4,408;-23,541;-49,158;9,412;0,000;33,214;1307,905;-19,984;16,661;-12,360;-78,079;-26,846;910,463;-41,149;-18,513;-47,765;5825,960;47,292;-28,466;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2355,715;62,265;813,032;-61,825;-13,512;229,161;7,309;11,775;-9,699;0,000;-4,929;-35,411;-22,354;9,137;13,559;25,337;12,124;19,734;20,205;-2,776;-16,456;-9,496;-35,111;25,843;9,093;-31,445;1,944;-14,867;4,268;18,013;10,014;-22,326;225,836;0,000;301,576;-36,716;-11,149;2,709;-4,627;1,394;177,849;12,947;-34,135;12,558;5,168;-13,252;-35,476;-13,256;15,738;1,533;-6,847;-3,370;-17,253;19,175;35,155;25,797;-32,129;37,316;3,751;33,322;13,398;17,510;3,917;36,037;4,540;-2,458;-10,776;8,414;7,207;-18,787;-0,934;18,845;52,950;-13,204;682,624;16,978;4,567;114,363;-10,615;10,664;6,555;5,051;-5,397;0,000;19,678;61,408;5,411;6,823;17,297;4,627;483,590;-2,922;8,559;259,535;-1,766;221,339;166,620;-11,944;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;1000,084;2712,468;-5,939;-22,143;441,712;-10,866;0,197;1189,549;0,000;18,570;-8,788;-48,101;3,368;-22,732;-34,149;12,978;29,077;8,693;31,618;-16,081;14,194;-48,932;24,501;-10,949;-27,865;-8,401;72,397;-100,617;-7,495;16,751;-50,764;748,356;0,000;2225,314;-16,326;-18,527;-1,259;-23,845;4,934;256,241;184,187;-24,936;645,014;-14,600;17,799;322,323;8,530;159,074;-11,143;-25,918;-13,172;16,840;72,061;99,621;1,720;191,288;4,194;127,124;187,349;276,255;675,088;34,973;13,418;28,649;102,326;-4,961;-1,753;5,004;16,976;129,481;31,585;240,062;-5,337;896,775;30,134;25,292;283,437;-8,301;46,071;-56,505;-34,292;-26,546;0,000;23,011;86,970;4,878;37,028;108,105;34,212;869,423;148,960;66,622;669,572;-44,200;2124,919;260,797;-44,632;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
