;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;8209,000;0,000;1956,000;0,000;0,000;0,000;7410,000;0,000;23,000;1687,000;13914,000;0,000;0,000;0,000;4,000;3863,000;36,000;3,000;9,000;8,000;0,000;0,000;646,000;20,000;0,000;0,000;3,000;15,000;187,000;36,000;868,000;422,000;4477,000;3616,000;433,000;199,000;11851,000;0,000;21386,000;4445,000;4086,000;2170,000;440,000;2,000;4043,000;505,000;1,000;2100,000;227,000;2,000;1099,000;2,000;749,000;30,000;406,000;278,000;0,000;1709,000;2,000;58,000;421,000;258,000;630,000;1278,000;1678,000;665,000;370,000;357,000;372,000;90,000;670,000;171,000;871,000;278,000;227,000;92,000;2753,000;2,000;2413,000;0,000;0,000;1229,000;0,000;2,000;0,000;2,000;381,000;0,000;357,000;333,000;46,000;309,000;328,000;625,000;3433,000;215,000;1411,000;3977,000;124,000;1318,000;3537,000;141,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;3,000;0,000;0,000;42,000;203,000;0,000;122,000;0,000;0,000;0,000;0,000;0,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;298,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;187,000;0,000;0,000;0,000;1826,000;232,000;125,000;66,000;119,000;0,000;0,000;0,000;0,000;0,000;37,000;0,000;81,000;0,000;0,000;0,000;0,000;0,000;69,000;6,000;54,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;26,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,000;0,000;1,000;0,000;0,000;703,000;0,000;0,000;0,000;0,000;154,000;0,000;0,000;0,000;26,000;0,000;0,000;0,000;34,000;0,000;0,000;88,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2313,000;853,000;1988,000;849,000;8533,000;13641,000;790,000;4344,000;1669,000;652,000;191,000;0,000;1405,000;17188,000;42,000;60,000;67,000;108,000;0,000;80,000;341,000;51,000;24,000;86,000;142,000;258,000;3306,000;1963,000;4129,000;3289,000;1356,000;1213,000;322,000;3,000;2923,000;0,000;11623,000;1093,000;1945,000;169,000;32,000;0,000;572,000;236,000;1,000;8497,000;42,000;578,000;3119,000;1,000;1285,000;42,000;330,000;107,000;42,000;504,000;88,000;12,000;60,000;1083,000;1900,000;1714,000;1680,000;3410,000;450,000;60,000;169,000;74,000;1227,000;248,000;44,000;54,000;130,000;170,000;6433,000;20,000;7711,000;10,000;2,000;4878,000;18,000;56,000;7,000;6,000;735,000;0,000;323,000;438,000;7,000;11,000;1663,000;47,000;1877,000;435,000;291,000;4921,000;270,000;1366,000;216,000;21,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;323,000;2502,000;942,000;1008,000;1365,000;252,000;894,000;409,000;32,000;92,000;0,000;370,000;3480,000;13,000;13,000;12,000;15,000;5,000;4,000;3,000;20,000;49,000;5,000;6,000;25,000;184,000;14,000;444,000;477,000;379,000;368,000;169,000;3,000;8,000;0,000;528,000;409,000;177,000;34,000;0,000;2,000;8,000;44,000;0,000;22,000;0,000;188,000;366,000;29,000;66,000;0,000;59,000;0,000;52,000;0,000;81,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;264,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1349,000;0,000;0,000;0,000;0,000;0,000;900,000;0,000;0,000;0,000;5782,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2335,000;0,000;786,000;0,000;0,000;235,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;42,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;231,000;0,000;331,000;0,000;0,000;0,000;0,000;0,000;180,000;3,000;0,000;25,000;22,000;1,000;5,000;1,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;3,000;0,000;0,000;16,000;46,000;9,000;25,000;5,000;4,000;3,000;5,000;0,000;2,000;0,000;0,000;3,000;0,000;34,000;0,000;648,000;0,000;0,000;139,000;0,000;2,000;0,000;0,000;5,000;0,000;0,000;45,000;17,000;9,000;16,000;20,000;498,000;26,000;13,000;286,000;6,000;247,000;180,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;942,000;2706,000;0,000;0,000;177,000;0,000;0,000;1164,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;81,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;745,000;0,000;2229,000;0,000;0,000;0,000;0,000;0,000;283,000;146,000;8,000;933,000;29,000;6,000;380,000;30,000;150,000;10,000;21,000;1,000;52,000;27,000;81,000;5,000;213,000;2,000;129,000;194,000;291,000;626,000;44,000;16,000;26,000;51,000;7,000;13,000;1,000;41,000;105,000;1,000;229,000;0,000;849,000;1,000;1,000;245,000;0,000;8,000;0,000;0,000;21,000;0,000;3,000;134,000;26,000;18,000;119,000;44,000;851,000;173,000;109,000;750,000;19,000;2144,000;264,000;16,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
