34510.68269896905: [{5=9}]
28282.35202110454: [{9=10}]
23518.495682026376: [{3=5}]
23288.758301501766: [{5=10}]
20353.576776665843: [{2=4}]
19063.035817178476: [{4=6}]
17798.052425728187: [{6=8}]
17528.109158360763: [{2=5}]
17271.15119475132: [{2=3}]
15843.421232572087: [{3=9}]
15589.190419090883: [{2=6}]
13359.859249014773: [{8=9}]
12541.164716488458: [{3=10}]
12052.681309096726: [{2=9}]
11833.132019537892: [{7=8}]
10232.504710672107: [{2=10}]
9519.831704370856: [{5=8}]
8819.63683038539: [{6=7}]
7951.293661197355: [{4=8}]
6567.917482264993: [{2=8}]
5380.769339819166: [{8=10}]
5220.1367601865495: [{5=6}]
4792.276284581261: [{6=9}]
4699.181618885883: [{4=7}]
4276.921453989657: [{7=10}]
4071.795321161926: [{2=7}]
3909.5732806765136: [{6=10}]
1996.2430610350511: [{3=6}]
1937.6914958686957: [{5=7}]
1505.0270376416793: [{3=8}]
1235.5509353633697: [{7=9}]
526.4241406273031: [{4=5}]
252.57417895506478: [{3=7}]
120.03210493619554: [{3=4}]
56.62185584591862: [{4=10}]
0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}, {2=11}, {3=11}, {4=11}, {5=11}, {6=11}, {7=11}, {8=11}, {9=11}, {10=11}]
-198.41771081730258: [{4=9}]
