43328.0: [{5=9}]
34267.0: [{9=10}]
28134.0: [{5=10}]
27079.0: [{3=5}]
22558.0: [{4=6}]
22193.0: [{2=4}]
21311.0: [{6=8}]
19971.0: [{2=3}]
19466.0: [{2=5}]
19402.0: [{3=9}]
18676.0: [{2=6}]
15946.0: [{8=9}]
15285.0: [{3=10}]
14942.0: [{2=9}]
14334.0: [{7=8}]
12491.0: [{2=10}]
10731.0: [{6=7}]
10123.0: [{5=8}]
8950.0: [{4=8}]
6936.0: [{2=8}]
6133.0: [{8=10}]
5997.0: [{4=7}]
5748.0: [{6=9}]
4945.0: [{2=7}]
4904.0: [{7=10}, {7=11}, {10=11}]
4758.0: [{6=10}]
4627.0: [{5=6}]
2688.0: [{3=6}]
1985.0: [{5=7}]
1522.0: [{3=8}]
1482.0: [{7=9}]
1074.0: [{4=5}]
505.0: [{3=4}]
390.0: [{4=9}]
317.0: [{3=7}]
269.0: [{4=10}]
0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}, {2=11}, {3=11}, {4=11}, {5=11}, {6=11}, {8=11}, {9=11}]
