;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0;0;0;0;0;0;0;0;0;0
Router 2;;;19971;22193;19466;18676;4945;6936;14942;12491;0
Router 3;;;;505;27079;2688;317;1522;19402;15285;0
Router 4;;;;;1074;22558;5997;8950;390;269;0
Router 5;;;;;;4627;1985;10123;43328;28134;0
Router 6;;;;;;;10731;21311;5748;4758;0
Router 7;;;;;;;;14334;1482;4904;4904
Router 8;;;;;;;;;15946;6133;0
Router 9;;;;;;;;;;34267;0
Router 10;;;;;;;;;;;4904
Router 11;;;;;;;;;;;
