;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19422,176;21299,088;18938,313;18298,455;4812,715;6424,578;14560,815;12237,878;161,430
Router 3;;;;111,807;26842,072;2467,838;121,564;1065,827;19371,894;15101,501;96,115
Router 4;;;;;652,378;22067,385;5909,465;8644,362;255,521;219,740;102,054
Router 5;;;;;;5439,195;1524,669;9731,376;41571,675;28020,880;-68,619
Router 6;;;;;;;10476,005;21053,589;5369,928;4831,662;-2,596
Router 7;;;;;;;;13848,536;1294,804;4982,937;4693,759
Router 8;;;;;;;;;15286,486;6041,554;-353,947
Router 9;;;;;;;;;;33881,760;-19,766
Router 10;;;;;;;;;;;4847,131
Router 11;;;;;;;;;;;
