;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19971,000;22193,000;19466,000;18676,000;4945,000;6936,000;14942,000;12491,000;0,000
Router 3;;;;505,000;27079,000;2688,000;317,000;1522,000;19402,000;15285,000;0,000
Router 4;;;;;1074,000;22558,000;5997,000;8950,000;390,000;269,000;0,000
Router 5;;;;;;4627,000;1985,000;10123,000;43328,000;28134,000;0,000
Router 6;;;;;;;10731,000;21311,000;5748,000;4758,000;0,000
Router 7;;;;;;;;14334,000;1482,000;4904,000;4904,000
Router 8;;;;;;;;;15946,000;6133,000;0,000
Router 9;;;;;;;;;;34267,000;0,000
Router 10;;;;;;;;;;;4904,000
Router 11;;;;;;;;;;;
