43328: [{5=9}]
34267: [{9=10}]
28134: [{5=10}]
27079: [{3=5}]
22558: [{4=6}]
22193: [{2=4}]
21311: [{6=8}]
19971: [{2=3}]
19466: [{2=5}]
19402: [{3=9}]
18676: [{2=6}]
15946: [{8=9}]
15285: [{3=10}]
14942: [{2=9}]
14334: [{7=8}]
12491: [{2=10}]
10731: [{6=7}]
10123: [{5=8}]
8950: [{4=8}]
6936: [{2=8}]
6133: [{8=10}]
5997: [{4=7}]
5748: [{6=9}]
4945: [{2=7}]
4904: [{7=10}, {7=11}, {10=11}]
4758: [{6=10}]
4627: [{5=6}]
2688: [{3=6}]
1985: [{5=7}]
1522: [{3=8}]
1482: [{7=9}]
1074: [{4=5}]
505: [{3=4}]
390: [{4=9}]
317: [{3=7}]
269: [{4=10}]
0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}, {2=11}, {3=11}, {4=11}, {5=11}, {6=11}, {8=11}, {9=11}]
