;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0;1988;529;164;3050;0;1026;378;191;493;1950;0;783;0;0;0;260;0;0;0;0
Router 2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 3;;;;4278;0;1988;57;10267;180;2126;1915;1581;303;783;4731;2034;129;260;2968;2022;0;0
Router 4;;;;;267;693;13750;7104;13856;22119;14030;2391;4751;8636;12193;5739;1765;1128;8635;5647;0;0
Router 5;;;;;;0;3164;77;998;190;561;185;2238;794;2157;9;69;602;1067;515;0;0
Router 6;;;;;;;1580;1026;378;191;493;3492;1631;2246;870;466;136;1634;751;461;0;0
Router 7;;;;;;;;1270;1651;715;2101;7317;19910;19529;13644;1011;1926;1216;9147;987;0;0
Router 8;;;;;;;;;1065;2811;1992;667;309;1083;7617;2462;200;19;3055;2037;0;0
Router 9;;;;;;;;;;8190;1314;310;71;1575;7016;946;336;467;3796;922;0;0
Router 10;;;;;;;;;;;834;277;2;707;23086;9798;700;97;14427;8709;0;0
Router 11;;;;;;;;;;;;816;950;1077;88;38;3;6;41;0;0;0
Router 12;;;;;;;;;;;;;5090;13919;4706;4;178;3334;3433;1018;0;0
Router 13;;;;;;;;;;;;;;10878;14145;582;1944;0;9313;537;0;0
Router 14;;;;;;;;;;;;;;;10432;94;265;6111;7173;2557;0;0
Router 15;;;;;;;;;;;;;;;;1235;977;12;27267;241;0;0
Router 16;;;;;;;;;;;;;;;;;18;197;397;9638;0;0
Router 17;;;;;;;;;;;;;;;;;;0;0;0;0;0
Router 18;;;;;;;;;;;;;;;;;;;0;2660;0;0
Router 19;;;;;;;;;;;;;;;;;;;;0;0;0
Router 20;;;;;;;;;;;;;;;;;;;;;0;0
Router 21;;;;;;;;;;;;;;;;;;;;;;0
Router 22;;;;;;;;;;;;;;;;;;;;;;
