;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1916,428;1017,446;8,177;2984,957;0,965;944,163;412,431;197,702;499,840;1920,568;0,226;783,347;25,719;-18,286;8,004;253,639;17,041;3,108;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3772,347;-5,857;1890,215;-95,013;9392,723;156,377;1834,869;1775,686;1477,721;185,037;623,132;4629,173;1553,711;98,357;217,444;2830,238;1557,220;0,000;0,000
Router 4;;;;;188,466;973,285;12343,956;8426,399;12448,861;20505,162;13337,737;2152,399;4056,833;7618,125;11739,577;5084,715;1665,712;1085,617;8045,041;4973,622;0,000;0,000
Router 5;;;;;;-10,271;3087,571;65,830;907,548;129,181;549,078;150,794;2236,355;861,851;2269,500;-9,812;74,334;591,961;1135,402;523,783;0,000;0,000
Router 6;;;;;;;1602,686;891,965;392,936;194,291;523,834;3415,347;1566,509;2240,815;820,040;428,351;135,648;1596,318;703,846;451,187;0,000;0,000
Router 7;;;;;;;;745,842;1425,682;732,165;2092,205;6442,526;18064,221;18757,132;13136,764;435,532;1770,010;1741,783;8766,771;986,347;0,000;0,000
Router 8;;;;;;;;;1020,795;2441,723;1866,633;556,080;121,887;604,267;5263,410;1824,173;183,926;-36,651;2882,894;1555,511;0,000;0,000
Router 9;;;;;;;;;;6737,945;1269,457;220,271;27,132;1405,729;5840,004;823,136;293,665;458,474;2870,884;815,245;0,000;0,000
Router 10;;;;;;;;;;;728,481;314,553;-3,889;869,819;22606,269;9032,474;668,881;102,306;13660,489;8041,806;0,000;0,000
Router 11;;;;;;;;;;;;795,490;911,396;990,685;-4,440;21,729;27,250;-38,300;17,859;-33,224;0,000;0,000
Router 12;;;;;;;;;;;;;4081,194;12419,887;4066,548;-33,714;132,850;3235,476;3098,916;964,451;0,000;0,000
Router 13;;;;;;;;;;;;;;9837,760;13222,539;479,087;1695,231;30,564;8573,124;501,405;0,000;0,000
Router 14;;;;;;;;;;;;;;;10054,075;68,376;247,304;5984,538;6910,616;2510,344;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1144,564;947,271;144,942;26365,999;329,297;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;3,862;187,706;282,378;8748,177;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-18,658;-18,114;-24,346;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;114,635;2617,332;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-57,581;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
