;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1988,000;529,000;164,000;3050,000;0,000;1026,000;378,000;191,000;493,000;1950,000;0,000;783,000;0,000;0,000;0,000;260,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4278,000;0,000;1988,000;57,000;10267,000;180,000;2126,000;1915,000;1581,000;303,000;783,000;4731,000;2034,000;129,000;260,000;2968,000;2022,000;0,000;0,000
Router 4;;;;;267,000;693,000;13750,000;7104,000;13856,000;22119,000;14030,000;2391,000;4751,000;8636,000;12193,000;5739,000;1765,000;1128,000;8635,000;5647,000;0,000;0,000
Router 5;;;;;;0,000;3164,000;77,000;998,000;190,000;561,000;185,000;2238,000;794,000;2157,000;9,000;69,000;602,000;1067,000;515,000;0,000;0,000
Router 6;;;;;;;1580,000;1026,000;378,000;191,000;493,000;3492,000;1631,000;2246,000;870,000;466,000;136,000;1634,000;751,000;461,000;0,000;0,000
Router 7;;;;;;;;1270,000;1651,000;715,000;2101,000;7317,000;19910,000;19529,000;13644,000;1011,000;1926,000;1216,000;9147,000;987,000;0,000;0,000
Router 8;;;;;;;;;1065,000;2811,000;1992,000;667,000;309,000;1083,000;7617,000;2462,000;200,000;19,000;3055,000;2037,000;0,000;0,000
Router 9;;;;;;;;;;8190,000;1314,000;310,000;71,000;1575,000;7016,000;946,000;336,000;467,000;3796,000;922,000;0,000;0,000
Router 10;;;;;;;;;;;834,000;277,000;2,000;707,000;23086,000;9798,000;700,000;97,000;14427,000;8709,000;0,000;0,000
Router 11;;;;;;;;;;;;816,000;950,000;1077,000;88,000;38,000;3,000;6,000;41,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;5090,000;13919,000;4706,000;4,000;178,000;3334,000;3433,000;1018,000;0,000;0,000
Router 13;;;;;;;;;;;;;;10878,000;14145,000;582,000;1944,000;0,000;9313,000;537,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;10432,000;94,000;265,000;6111,000;7173,000;2557,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1235,000;977,000;12,000;27267,000;241,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;18,000;197,000;397,000;9638,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;0,000;2660,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
