;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;183,000;181,000;178,000;156,000;75,000;96,000;115,000;95,000;0,000
Router 3;;;;5,000;258,000;34,000;4,000;20,000;158,000;116,000;0,000
Router 4;;;;;17,000;193,000;77,000;111,000;12,000;12,000;0,000
Router 5;;;;;;60,000;9,000;107,000;442,000;274,000;0,000
Router 6;;;;;;;140,000;257,000;75,000;54,000;0,000
Router 7;;;;;;;;162,000;6,000;65,000;65,000
Router 8;;;;;;;;;174,000;65,000;0,000
Router 9;;;;;;;;;;339,000;0,000
Router 10;;;;;;;;;;;65,000
Router 11;;;;;;;;;;;
